新宿駅前サイナス歯科・矯正歯科,,"[['10:00～21:00'], ['10:00～21:00'], ['10:00～21:00'], ['10:00～21:00'], ['10:00～21:00'], ['10:00～21:00'], ['10:00～17:00']]"
あいおい歯科グループ　池袋駅前歯医者・矯正歯科,,"[['10:00～19:00'], ['10:00～19:00'], ['10:00～19:00'], ['10:00～19:00'], ['10:00～19:00'], ['10:00～19:00'], ['10:00～19:00']]"
あいあーる歯科恵比寿駅東口医院,,"[['10:00～19:00'], ['10:00～19:00'], ['10:00～19:00'], ['10:00～19:00'], ['10:00～19:00'], ['10:00～19:00'], ['10:00～19:00']]"
あいおい歯科グループ　新宿駅前歯医者・矯正歯科,,"[['10:00～19:00'], ['10:00～19:00'], ['10:00～19:00'], ['10:00～19:00'], ['10:00～19:00'], ['10:00～19:00'], ['10:00～19:00']]"
ヨネデンタルオフィス高輪,,"[['09:00～13:00', '14:30～18:00'], ['09:00～13:00', '14:30～18:00'], [], ['09:00～13:00', '14:30～18:00'], ['09:00～13:00', '14:30～18:00'], ['09:00～13:00', '14:30～18:00'], ['09:00～14:00']]"
マリコ歯科クリニック,,"[['08:30～13:00', '14:30～19:00'], ['14:30～19:00', '09:30～13:00'], ['14:30～19:00', '09:30～13:00'], ['08:30～13:00', '14:30～19:00'], ['14:30～19:00', '09:30～13:00'], [], []]"
あいおい歯科グループ　板橋歯医者・矯正歯科,,"[['10:00～19:00'], ['10:00～19:00'], ['10:00～19:00'], ['10:00～19:00'], ['10:00～19:00'], ['10:00～19:00'], ['10:00～19:00']]"
丸の内 帝劇デンタルクリニック,,"[['10:00～14:00', '15:00～20:00'], ['10:00～14:00', '15:00～20:00'], ['10:00～14:00', '15:00～20:00'], ['10:00～14:00', '15:00～20:00'], ['10:00～14:00', '15:00～20:00'], ['10:00～14:30'], []]"
銀座並木通り歯科,,"[[], ['10:00～13:00', '14:00～19:00'], ['10:00～13:00', '14:00～19:00'], ['10:00～13:00', '14:00～19:00'], ['10:00～13:00', '14:00～19:00'], ['10:00～13:00', '14:00～19:00'], []]"
石神井公園駅前四季デンタルオフィス,,"[['09:30～12:30', '14:00～19:00'], ['09:30～12:30', '14:00～19:00'], [], ['09:30～12:30', '14:00～19:00'], ['09:30～12:30', '14:00～19:00'], ['09:30～13:00'], []]"
あいあーる歯科目黒駅医院,,"[['10:00～19:00'], ['10:00～19:00'], ['10:00～19:00'], ['10:00～19:00'], ['10:00～19:00'], ['10:00～19:00'], ['10:00～19:00']]"
医療法人弘栄会さくら歯科,,"[['09:00～13:00', '14:30～18:30'], ['09:00～13:00', '14:30～18:30'], [], ['09:00～13:00', '14:30～18:30'], ['09:00～13:00', '14:30～18:30'], ['09:00～13:00'], []]"
こどもおとな歯科　北池袋院,,"[['10:00～13:00', '14:00～18:30'], ['10:00～13:00', '14:00～18:30'], [], ['10:00～13:00', '14:00～18:30'], ['10:00～13:00', '14:00～18:30'], ['10:00～13:00', '14:00～18:30'], []]"
神田ふくしま歯科,,"[['11:00～14:00', '15:30～20:00'], ['11:00～14:00', '15:30～20:00'], ['11:00～14:00', '15:00～19:00'], ['11:00～14:00', '15:00～19:00'], ['11:00～14:00', '15:30～20:00'], ['11:00～14:00', '15:00～19:00'], []]"
イズミ歯科,,"[['09:30～13:00', '14:30～18:00'], ['09:30～13:00', '14:30～18:00'], ['09:30～13:00'], [], ['09:30～13:00', '14:30～18:00'], ['09:30～13:00', '14:30～18:00'], []]"
高輪和合クリニック,,"[['10:00～13:30', '14:30～18:00'], ['10:00～13:30', '14:30～18:00'], ['10:00～13:30', '14:30～18:00'], ['10:00～13:30', '14:30～18:00'], ['10:00～13:30', '14:30～18:00'], ['10:00～13:30', '14:30～18:00'], ['10:00～13:30', '14:30～18:00']]"
東京歯周病吉田歯科クリニック,,"[[], ['10:00～14:00', '15:00～18:00'], ['10:00～14:00', '15:00～18:00'], ['10:00～14:00', '15:00～18:00'], ['10:00～14:00', '15:00～18:00'], ['09:00～14:00'], []]"
いかわデンタルクリニック豊田,,"[['09:30～13:00', '14:30～19:00'], ['09:30～13:00', '14:30～19:00'], ['09:30～13:00', '14:30～19:00'], [], ['09:30～13:00', '14:30～19:00'], [], []]"
武蔵新田歯科医院,,"[['09:00～13:00', '14:00～18:00'], ['09:00～13:00', '14:00～18:00'], ['09:00～13:00', '14:00～18:00'], ['09:00～13:00', '14:00～18:00'], ['09:00～13:00', '14:00～18:00'], ['09:00～13:00', '14:00～17:00'], ['09:00～13:00', '14:00～17:00']]"
アーク歯科・矯正歯科,,"[['10:30～13:00', '14:30～20:00'], ['10:30～13:00', '14:30～20:00'], ['10:30～13:00', '14:30～20:00'], [], ['10:30～13:00', '14:30～20:00'], ['10:30～13:00'], []]"
町田駅前グレイス歯科・矯正歯科,,"[['09:00～13:00', '14:30～21:00'], ['09:00～13:00', '14:30～21:00'], ['09:00～13:00', '14:30～21:00'], ['09:00～13:00', '14:30～21:00'], ['09:00～13:00', '14:30～21:00'], ['09:00～13:00', '14:30～21:00'], ['09:00～13:00', '14:30～21:00']]"
愛育クリニック麻布歯科ユニット,,"[['09:00～19:00'], ['09:00～19:00'], ['09:00～19:00'], ['09:00～19:00'], ['09:00～19:00'], ['09:00～18:00'], []]"
白金SAIKI DENTAL CLINIC,,"[['10:00～13:30', '15:00～19:00'], [], ['10:00～13:30', '15:00～19:00'], ['10:00～13:30', '15:00～19:00'], ['10:00～13:30', '15:00～19:00'], ['10:00～13:30', '15:00～19:00'], []]"
アーク杉並デンタルクリニック,,"[['09:30～13:30', '15:00～20:00'], ['09:30～13:30', '15:00～20:00'], ['09:30～13:30', '15:00～20:00'], ['09:30～13:30', '15:00～20:00'], ['09:30～13:30', '15:00～20:00'], ['09:30～13:00', '15:00～18:00'], ['09:30～13:00', '15:00～18:00']]"
くろさわ歯科医院,,"[['09:30～13:00', '14:30～19:00'], ['09:30～13:00', '14:30～19:00'], ['09:30～13:00', '14:30～19:00'], ['09:30～13:00', '14:30～19:00'], ['09:30～13:00', '14:30～19:00'], ['09:30～13:00', '14:30～19:00'], []]"
医療法人社団 北癒会 尾山台歯科クリニック,,"[['11:00～13:00', '14:30～19:00'], ['11:00～13:00', '14:30～19:00'], [], ['11:00～13:00', '14:30～19:00'], ['11:00～13:00', '14:30～19:00'], [], []]"
いたばし駅前歯科,,"[['10:00～13:30', '14:30～22:00'], ['10:00～13:30', '14:30～20:00'], ['10:00～13:30', '14:30～20:00'], ['10:00～13:30', '14:30～20:00'], ['10:00～13:30', '14:30～20:00'], ['10:00～13:30', '14:30～20:00'], ['10:00～13:30', '14:30～18:00']]"
フジタデンタルクリニック 青山,,"[['10:00～13:30', '15:00～19:00'], ['10:00～13:00', '14:00～17:00'], [], [], ['10:00～13:30', '15:00～19:00'], ['10:00～13:00', '14:00～17:00'], []]"
リリオ歯科クリニック,,"[['10:00～13:00', '14:30～20:00'], ['10:00～13:00', '14:30～20:00'], ['10:00～13:00', '14:30～20:00'], ['10:00～13:00', '14:30～20:00'], ['10:00～13:00', '14:30～20:00'], ['10:00～13:00', '14:30～20:00'], ['10:00～13:00', '14:30～18:30']]"
中川歯科クリニック,,"[['09:30～13:00', '14:00～19:00'], ['09:30～13:00', '14:00～18:00'], ['09:30～13:00', '14:00～19:00'], [], ['09:30～13:00', '14:00～17:00'], ['09:30～13:00', '14:00～17:00'], []]"
あんどう歯科口腔外科,,"[['10:30～13:00', '14:00～19:00'], ['10:30～13:00', '14:00～19:00'], [], ['10:30～13:00', '14:00～19:00'], ['10:30～13:00', '14:00～19:00'], ['10:30～14:00'], []]"
ホワイトプラザ歯科,,"[['09:00～13:00', '14:30～18:00'], ['09:00～13:00', '14:30～18:00'], ['09:00～13:00', '14:30～18:00'], ['09:00～13:00', '14:30～18:00'], ['09:00～13:00', '15:30～18:00'], ['09:00～13:00', '14:30～18:00'], ['09:00～13:00', '14:30～18:00']]"
