genre,store_name,business_hours,address,url,Cleaned_Address,Longitude,Latitude,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
ガソリンスタンド,セルフ＆カーケアステーション芝浦 / コスモ石油販売(株),['0:00~23:59'],東京都港区芝浦3-17-12,N/A,東京都港区芝浦3-17-12,139.750366,35.642429,['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59']
ガソリンスタンド,カーウォッシュ亀有SS / (株)ENEOSウイング,['07:00~21:00'],東京都足立区東和5-8-8,N/A,東京都足立区東和5-8-8,139.83934,35.776653,['07:00~21:00'],['07:00~21:00'],['07:00~21:00'],['07:00~21:00'],['07:00~21:00'],['07:00~21:00'],['07:00~21:00']
ガソリンスタンド,セルフ＆カーケアステーション千歳船橋 / コスモ石油販売(株),['0:00~23:59'],東京都世田谷区船橋6-3-4,N/A,東京都世田谷区船橋6-3-4,139.623398,35.657085,['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59']
ガソリンスタンド,セルフ＆カーケアステーション光が丘 / コスモ石油販売(株),['0:00~23:59'],東京都練馬区田柄5-9-1,N/A,東京都練馬区田柄5-9-1,139.636703,35.756355,['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59']
ガソリンスタンド,セルフ＆カーケアステーション弁天通り / コスモ石油販売(株),['0:00~23:59'],東京都国分寺市西町5-23-2,N/A,東京都国分寺市西町5-23-2,139.43129,35.714432,['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59']
ガソリンスタンド,セルフ＆カーケアステーション東大和仲原 / コスモ石油販売(株),['0:00~23:59'],東京都東大和市仲原3-19-1,N/A,東京都東大和市仲原3-19-1,139.439011,35.742825,['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59']
ガソリンスタンド,セルフ＆カーケアステーション瑞穂 / コスモ石油販売(株),['0:00~23:59'],東京都西多摩郡瑞穂町大字二本木445-1,N/A,東京都西多摩郡瑞穂町大字二本木445-1,139.345474,35.793808,['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59']
ガソリンスタンド,セルフ＆カーケアステーション八王子堀之内 / コスモ石油販売(株),['0:00~23:59'],東京都八王子市堀之内880-2,N/A,東京都八王子市堀之内880-2,139.394028,35.632492,['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59']
ガソリンスタンド,昭島中央 / コスモ石油販売(株),['08:00~19:00'],東京都昭島市昭和町1-7-6,N/A,東京都昭島市昭和町1-7-6,139.364349,35.711197,['08:00~19:00'],['08:00~19:00'],['08:00~19:00'],['08:00~19:00'],['08:00~19:00'],['08:00~19:00'],['08:00~19:00']
ガソリンスタンド,東京平和島TS / (株)ENEOSウイング,['0:00~23:59'],東京都大田区平和島3-1-25,N/A,東京都大田区平和島3-1-25,139.744522,35.583443,['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59']
ガソリンスタンド,セルフ＆カーケアステーション日野多摩平 / コスモ石油販売(株),['0:00~23:59'],東京都日野市多摩平6-8-8,N/A,東京都日野市多摩平6-8-8,139.379745,35.671726,['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59']
ガソリンスタンド,洗足池SS / 中央石油(株),['08:00~22:00'],東京都大田区南千束1-12-1,N/A,東京都大田区南千束1-12-1,139.695572,35.602631,['08:00~22:00'],['08:00~22:00'],['08:00~22:00'],['08:00~22:00'],['08:00~22:00'],['08:00~22:00'],['08:00~22:00']
ガソリンスタンド,駒込富士前SS / コスモ石油販売(株),['08:00~19:00'],東京都文京区本駒込3-30-2,N/A,東京都文京区本駒込3-30-2,139.751587,35.729733,['08:00~19:00'],['08:00~19:00'],['08:00~19:00'],['08:00~19:00'],['08:00~19:00'],['08:00~19:00'],['08:00~19:00']
ガソリンスタンド,セルフ＆カーケアステーション中野哲学堂 / コスモ石油販売(株),['0:00~23:59'],東京都中野区江古田1-7-3,N/A,東京都中野区江古田1-7-3,139.672333,35.723793,['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59']
ガソリンスタンド, セルフ＆カーケアステーション東大和 / コスモ石油販売(株),['08:00~19:00'],東京都東大和市立野3-1195-1,N/A,東京都東大和市立野3-1195-1,139.423492,35.741932,['08:00~19:00'],['08:00~19:00'],['08:00~19:00'],['08:00~19:00'],['08:00~19:00'],['08:00~19:00'],['08:00~19:00']
