genre,store_name,business_hours,address,url
ラーメン,ぎょうてん屋 町田店,"営業時間
10:00〜25:00
日曜営業
定休日
なし",東京都町田市原町田4-11-14,https://tabelog.com/tokyo/A1327/A132701/13022216/
ラーメン,福ちゃん,"営業時間
18:00〜
定休日
日曜",東京都町田市大蔵町213-7,https://tabelog.com/tokyo/A1327/A132701/13066280/
ラーメン,源,"営業時間
[火〜土]20:00〜翌5:00(L.O.翌4:00)※営業日時変更の場合はSNSにて告知
定休日
日曜日・月曜日、不定休(SNSにて告知)",東京都町田市原町田6-7-2,https://tabelog.com/tokyo/A1327/A132701/13066268/
ラーメン,支那そば やまいち,,東京都町田市森野1-36-8,https://tabelog.com/tokyo/A1327/A132701/13010322/
ラーメン,天下一品 町田店,"営業時間
11:00～23:00 (L.O.22:45)
日曜営業
定休日
元旦",東京都町田市原町田6-7-17,https://tabelog.com/tokyo/A1327/A132701/13266057/
ラーメン,鶏白湯専門店 つけ麺 まるや 町田多摩境店,,東京都町田市小山ヶ丘4-3-5,https://tabelog.com/tokyo/A1327/A132701/13241775/
ラーメン,日高屋 小田急町田北口店,"営業時間
［月～土］10:00～翌2:00（L.O.1:30）［日・祝］10:00～24:00（L.O.23:30）
日曜営業
定休日
無休",東京都町田市森野1-39-5 第2モリビル 1F,https://tabelog.com/tokyo/A1327/A132701/13126943/
ラーメン,一番いちばん,"営業時間
[木～火]12:00～14:3018:00～20:00（材料無くなり次第終了）
日曜営業
定休日
水曜日",東京都町田市中町1-28-24 大成ビル　１Ｆ,https://tabelog.com/tokyo/A1327/A132701/13001469/
ラーメン,室蘭ラーメン 雷文,"営業時間
[火～金]11:00～14:30[土・日・祝]11:00～15:30
日曜営業
定休日
月曜日、第2火曜日",東京都町田市本町田973-16,https://tabelog.com/tokyo/A1327/A132701/13006030/
ラーメン,一蘭 町田店,"営業時間
10:00～翌6:00※営業時間は変更になる場合がございますので、最新情報は公式HPをご確認ください
日曜営業
定休日
年中無休",東京都町田市原町田6-19-11,https://tabelog.com/tokyo/A1327/A132701/13053824/
ラーメン,九一麺 町田,"営業時間
11：00～22:00
日曜営業
定休日
不定休",東京都町田市図師町559-22,https://tabelog.com/tokyo/A1327/A132701/13050092/
ラーメン,たつ屋,,東京都町田市成瀬8-2-2,https://tabelog.com/tokyo/A1327/A132701/13156570/
ラーメン,ばってんラーメン 町田店,"営業時間
営業時間・休業営業時間・休業日は変更となる場合がございますので、HPにて最新情報をご確認ください
日曜営業
定休日
無休",東京都町田市木曽東4-19-19,https://tabelog.com/tokyo/A1327/A132701/13199538/
ラーメン,ラーメン魁力屋 鶴川店,"営業時間
11:00～0:00無休
定休日
無休",東京都町田市能ヶ谷4-4-18,https://tabelog.com/tokyo/A1327/A132701/13141060/
ラーメン,81番,"営業時間
[月～土]11:00～23:00(中休み無し)[日]11:00～21:00（中休み無し）[日曜日が連休中の場合]・連休の最終日が、11:00～21:00（中休み無し）・日曜日は11:00～23:00
日曜営業
定休日
なし",東京都町田市原町田4-5-18 仲見世商店街,https://tabelog.com/tokyo/A1327/A132701/13191765/
ラーメン,ラーメンと餃子の店 水岡,"営業時間
11:30～21:00
日曜営業
定休日
不定休",東京都町田市原町田4-4-16,https://tabelog.com/tokyo/A1327/A132701/13049894/
ラーメン,自由が丘 蔭山樓 南町田店,"営業時間
[月～木]10:00～20:00[金・土・日・祝]10:00～21:00
日曜営業
定休日
施設の営業日に準ずる",東京都町田市鶴間3-4-1 グランベリーパーク ギャザリングマーケット 1F,https://tabelog.com/tokyo/A1327/A132701/13241668/
ラーメン,トンタムラーメン,"営業時間
11:00～21:00(L.O)
日曜営業
定休日
不定休(月1日程度)",東京都町田市野津田町1810-12,https://tabelog.com/tokyo/A1327/A132701/13057045/
ラーメン,ラーメン大桜 野津田店,"営業時間
[月～日]11:00～24:00
日曜営業
定休日
年中無休",東京都町田市野津田町2557-5,https://tabelog.com/tokyo/A1327/A132701/13099918/
ラーメン,ラーメンショップ 成瀬が丘店,"営業時間
7：00～20：00ラストオーダー 19:45
日曜営業
定休日
水曜日",東京都町田市成瀬が丘1-26-4 サンハイツ成瀬 1Ｆ,https://tabelog.com/tokyo/A1327/A132701/13108802/
ラーメン,元祖ニュータンタンメン本舗 町田店,"営業時間
11:00～20:00
日曜営業
定休日
水曜日",東京都町田市原町田3-7-2,https://tabelog.com/tokyo/A1327/A132701/13242221/
ラーメン,日高屋 町田中央店,"営業時間
10:00～翌3:00(L.O.翌2:30)
日曜営業
定休日
年中無休",東京都町田市原町田6-19-13 Yビル,https://tabelog.com/tokyo/A1327/A132701/13056138/
ラーメン,日高屋 町田パークアベニュー店,"営業時間
10:00～翌4:00（L.O.3:30）
日曜営業
定休日
無休",東京都町田市原町田4-4-15,https://tabelog.com/tokyo/A1327/A132701/13127010/
ラーメン,中華そば 七面,"営業時間
11:30～16:00
日曜営業
定休日
火曜日、水曜日（他曜日も休業日あり）",東京都町田市原町田4-5-19,https://tabelog.com/tokyo/A1327/A132701/13019824/
ラーメン,jun-pey ra-men  成瀬店,"営業時間
ランチ　11：00～15：00ディナー　18：00～22：00金土　11：00～15：00　　　　18：00〜24：00
日曜営業
定休日
無",東京都町田市成瀬1-4-1,https://tabelog.com/tokyo/A1327/A132701/13059118/
ラーメン,横濱家 成瀬店,"営業時間
【ランチ】　11:00～15:30【ディナー】17:30～22:00（L.O. 21:45）
日曜営業
定休日
年中無休",東京都町田市南成瀬2-7-1,https://tabelog.com/tokyo/A1327/A132701/13021415/
ラーメン,いぶし銀,"営業時間
[平日]11:30～14:0018:00～21:00[土・日・祝祭日]11:30～15:0018:00～21:00スープがなくなり次第終了
日曜営業
定休日
毎週水曜日・第2第4木曜日　（年末年始・夏期休業あり）",東京都町田市原町田6-29-4 寺田ビル　 １Ｆ,https://tabelog.com/tokyo/A1327/A132701/13016449/
ラーメン,ラーメン 町田家 町田本店,"営業時間
［月・火・水・金・土・日］11:00～翌3:00［木］11:00～17:30
日曜営業
定休日
無休",東京都町田市原町田3-7-2,https://tabelog.com/tokyo/A1327/A132701/13010323/
ラーメン,ラーメン大桜 森野店,"営業時間
11:00～20:00
日曜営業
定休日
水曜日",東京都町田市森野6-367-1,https://tabelog.com/tokyo/A1327/A132701/13042396/
ラーメン,麺屋 みのわ,,東京都町田市三輪町314-5,https://tabelog.com/tokyo/A1327/A132701/13172794/
ラーメン,町田商店 成瀬店,"営業時間
営業時間・休業日は変更となる場合がございますので、HPにて最新情報をご確認ください
日曜営業
定休日
無休",東京都町田市成瀬5-8-52,https://tabelog.com/tokyo/A1327/A132701/13193954/
ラーメン,ラーメン 蔵屋,"営業時間
営業時間：AM11:00-24:00
定休日
火曜日(祝日の場合は前後する場合がございます)",東京都町田市森野6-359 横山第2ビル 1F,https://tabelog.com/tokyo/A1327/A132701/13175435/
ラーメン,ど・みそ 町田店,"営業時間
平日１１：００～２２：００（中休みなし）土日祝　１１:００～２１：００（中休みなし）
日曜営業
定休日
無し（年末年始を除く）",東京都町田市原町田3-1-4 町田ターミナルプラザ2F,https://tabelog.com/tokyo/A1327/A132701/13123211/
ラーメン,麺屋 いはし。,"営業時間
１１：３０～１５：００/１８：００～２２：００営業
日曜営業
定休日
火曜日",東京都町田市小山町984-1,https://tabelog.com/tokyo/A1327/A132701/13061298/
ラーメン,壱角家 鶴川店,"営業時間
[月～日]11:00～翌2:00
日曜営業
定休日
無休",東京都町田市大蔵町215-1,https://tabelog.com/tokyo/A1327/A132701/13188869/
ラーメン,横濱家 鶴川店,"営業時間
11:00～23:00（L.O. 22:45）
日曜営業
定休日
年中無休",東京都町田市真光寺1-26-31,https://tabelog.com/tokyo/A1327/A132701/13010336/
ラーメン,三五八式,,東京都町田市山崎1-1-2,https://tabelog.com/tokyo/A1327/A132701/13224856/
ラーメン,麺場 田所商店 成瀬店,"営業時間
11:00～23:00（L.O.22:30）
日曜営業
定休日
無休",東京都町田市南成瀬5-1-1,https://tabelog.com/tokyo/A1327/A132701/13206884/
ラーメン,龍聖軒,"営業時間
11:00～15:00
日曜営業
定休日
無休",東京都町田市能ヶ谷2-24-26,https://tabelog.com/tokyo/A1327/A132701/13240442/
ラーメン,蒙古タンメン中本 町田店,"営業時間
11:00～23:00
日曜営業
定休日
年末年始",東京都町田市中町1-1-3 町田リラビル 1F,https://tabelog.com/tokyo/A1327/A132701/13114574/
ラーメン,日高屋 成瀬店,"営業時間
[月～土]10:00～翌2:00(L.O.1:30)[日・祝]10:00～23:00(L.O.22:30)
定休日
無休",東京都町田市南成瀬1-3-5 相鉄ローゼンショッピングセンター1F,https://tabelog.com/tokyo/A1327/A132701/13127655/
ラーメン,らーめん せい家 町田店,"営業時間
ランチ　11:00～16:00ディナー　16:00～2:30（L.O.2:30）
日曜営業
定休日
無",東京都町田市原町田6-10-3,https://tabelog.com/tokyo/A1327/A132701/13209332/
ラーメン,横浜家系ラーメン 玉学家,,東京都町田市玉川学園7-8-1,https://tabelog.com/tokyo/A1327/A132701/13131091/
ラーメン,濃厚鶏白湯らーめん 麺匠なべすけ 町田店,"営業時間
【月〜日】11:30～15:00   17:30～23:30(L.O.23:15)
日曜営業
定休日
2019年5月より当面の間、年中無休【お盆、年末年始を除く】",東京都町田市金森東1-11-1,https://tabelog.com/tokyo/A1327/A132701/13214884/
ラーメン,らーめん家 せんだい 町田店,,東京都町田市中町3-7-14,https://tabelog.com/tokyo/A1327/A132701/13260874/
ラーメン,ラーメン スリーエスオー,"営業時間
[月・土]11:45～14:00(L.O.)[火～金]11:45～14:00(L.O.)19:45～21:00(L.O.)
定休日
日曜日・第4月曜日・他不定休あり",東京都町田市木曽西4-1-31,https://tabelog.com/tokyo/A1327/A132701/13111245/
ラーメン,ラーメン 奥津家,,東京都町田市木曽西1-1-21,https://tabelog.com/tokyo/A1327/A132701/13010339/
