line_cd,station_cd1,station_cd2
11301,1130101,1130102
11301,1130102,1130103
11302,1130201,1130202
11302,1130202,1130203
11302,1130203,1130204
11302,1130204,1130205
11302,1130205,1130206
11302,1130206,1130207
11302,1130207,1130208
11302,1130208,1130209
11302,1130209,1130210
11302,1130210,1130211
11302,1130211,1130212
11302,1130212,1130213
11302,1130213,1130214
11302,1130214,1130215
11302,1130215,1130216
11302,1130216,1130217
11302,1130217,1130218
11302,1130218,1130219
11302,1130219,1130220
11302,1130220,1130221
11302,1130221,1130222
11302,1130222,1130223
11302,1130223,1130224
11302,1130224,1130225
11302,1130225,1130226
11302,1130226,1130227
11302,1130227,1130228
11302,1130228,1130230
11302,1130229,1130201
11302,1130230,1130229
11303,1130317,1130318
11303,1130318,1130319
11303,1130319,1130320
11303,1130320,1130321
11303,1130321,1130329
11303,1130322,1130323
11303,1130323,1130324
11303,1130324,1130325
11303,1130329,1130322
11305,1130501,1130502
11305,1130502,1130503
11305,1130503,1130504
11305,1130504,1130505
11306,1130610,1130611
11306,1130617,1130618
11306,1130618,1130619
11306,1130619,1130620
11308,1130801,1130802
11308,1130802,1130803
11308,1130803,1130804
11311,1131101,1131102
11311,1131102,1131103
11311,1131103,1131104
11311,1131104,1131105
11311,1131105,1131106
11311,1131106,1131107
11311,1131107,1131108
11311,1131108,1131109
11311,1131109,1131110
11311,1131110,1131111
11311,1131111,1131112
11312,1131201,1131202
11312,1131202,1131203
11312,1131203,1131207
11312,1131207,1131211
11312,1131211,1131214
11312,1131214,1131215
11312,1131215,1131216
11312,1131216,1131217
11312,1131217,1131218
11312,1131218,1131219
11312,1131219,1131220
11312,1131220,1131221
11312,1131221,1131222
11312,1131222,1131223
11312,1131223,1131224
11312,1131224,1131225
11312,1131225,1131226
11312,1131226,1131227
11312,1131227,1131228
11312,1131228,1131229
11312,1131229,1131230
11312,1131230,1131231
11312,1131231,1131232
11313,1131301,1131302
11313,1131302,1131303
11313,1131303,1131304
11313,1131304,1131305
11313,1131305,1131306
11313,1131306,1131307
11313,1131307,1131308
11313,1131308,1131309
11313,1131309,1131310
11313,1131310,1131311
11313,1131311,1131312
11313,1131312,1131313
11313,1131313,1131314
11313,1131314,1131315
11313,1131315,1131316
11313,1131316,1131317
11313,1131317,1131318
11313,1131318,1131319
11313,1131319,1131320
11313,1131320,1131321
11313,1131321,1131322
11313,1131322,1131323
11313,1131323,1131324
11313,1131324,1131325
11313,1131325,1131326
11314,1131401,1131402
11314,1131402,1131403
11314,1131403,1131404
11314,1131404,1131405
11315,1131501,1131502
11315,1131502,1131503
11315,1131503,1131504
11315,1131504,1131505
11315,1131505,1131506
11315,1131506,1131507
11315,1131507,1131508
11315,1131508,1131509
11315,1131509,1131510
11315,1131510,1131511
11315,1131511,1131512
11315,1131512,1131513
11315,1131513,1131514
11315,1131514,1131515
11315,1131515,1131516
11315,1131516,1131517
11315,1131517,1131518
11315,1131518,1131519
11315,1131519,1131520
11315,1131520,1131521
11315,1131521,1131522
11315,1131522,1131523
11315,1131523,1131524
11315,1131524,1131525
11316,1131601,1131602
11316,1131602,1131603
11316,1131603,1131604
11316,1131604,1131605
11316,1131605,1131606
11316,1131606,1131607
11317,1131701,1131702
11317,1131702,1131703
11317,1131703,1131704
11317,1131704,1131705
11317,1131705,1131706
11319,1131901,1131902
11319,1131902,1131903
11320,1132001,1132002
11320,1132002,1132003
11320,1132003,1132004
11320,1132004,1132005
11320,1132005,1132006
11320,1132006,1132007
11320,1132007,1132008
11321,1132101,1132102
11321,1132102,1132103
11321,1132103,1132104
11321,1132104,1132105
11321,1132105,1132106
11321,1132106,1132107
11321,1132107,1132108
11321,1132108,1132109
11321,1132109,1132110
11323,1132301,1132302
11323,1132302,1132303
11326,1132601,1132602
11326,1132602,1132603
11326,1132603,1132604
11326,1132604,1132605
11326,1132605,1132606
11328,1132806,1132807
11328,1132807,1132808
11328,1132808,1132809
11328,1132816,1132817
11328,1132817,1132818
11328,1132818,1132819
11328,1132819,1132820
11328,1132820,1132806
11332,1133210,1133211
11332,1133211,1133212
11332,1133212,1133213
11332,1133213,1133214
11332,1133214,1133215
11332,1133215,1133216
11332,1133216,1133217
11332,1133217,1133218
11332,1133218,1133219
11332,1133219,1133220
11332,1133220,1133221
11332,1133221,1133222
11332,1133222,1133223
11332,1133223,1133224
11332,1133224,1133225
11332,1133225,1133226
11332,1133226,1133236
11332,1133227,1133228
11332,1133228,1133229
11332,1133229,1133230
11332,1133236,1133227
11333,1133302,1133303
11333,1133303,1133304
11333,1133304,1133305
11333,1133305,1133306
11333,1133306,1133307
11333,1133307,1133308
11343,1134301,1134302
21001,2100101,2100102
21001,2100102,2100103
21001,2100103,2100104
21001,2100104,2100105
21001,2100105,2100106
21001,2100106,2100107
21001,2100107,2100108
21001,2100108,2100109
21001,2100109,2100110
21002,2100201,2100202
21002,2100202,2100203
21002,2100203,2100204
21002,2100204,2100205
21002,2100205,2100206
21002,2100206,2100207
21002,2100207,2100208
21002,2100208,2100209
21002,2100209,2100210
21002,2100210,2100211
21002,2100211,2100212
21002,2100212,2100213
21002,2100213,2100214
21005,2100501,2100502
21005,2100502,2100503
21005,2100503,2100504
21005,2100504,2100505
21006,2100601,2100602
22001,2200101,2200102
22001,2200102,2200103
22001,2200103,2200104
22001,2200104,2200105
22001,2200105,2200106
22001,2200106,2200107
22001,2200107,2200108
22001,2200108,2200109
22001,2200109,2200110
22001,2200110,2200111
22001,2200111,2200112
22001,2200112,2200113
22001,2200113,2200114
22001,2200114,2200115
22001,2200115,2200116
22003,2200301,2200302
22003,2200302,2200303
22004,2200401,2200402
22007,2200701,2200702
22007,2200702,2200703
22007,2200703,2200704
22007,2200704,2200705
22007,2200705,2200706
22007,2200706,2200707
22007,2200707,2200708
22007,2200708,2200709
22007,2200709,2200710
22007,2200710,2200711
22007,2200711,2200712
22007,2200712,2200713
