genre,store_name,business_hours,address,url
カフェ,TOKYO L.O.C.A.L BASE,"営業時間
●ランチ[月～金]11:00～15:00 （L.O. 14:30）[土・日・祝]10:00～15:00 （L.O. 14:30）※15:00～17:00はCAFE TIME(デザートとドリンクのみ)●ディナー(金土日祝日)17:00～22:00 （L.O. 21:00）※ランチ・ディナー共に貸切予約可！(電話にてご相談ください)
日曜営業
定休日
お盆休み・年末年始",東京都荒川区町屋1-3-12,https://tabelog.com/tokyo/A1324/A132401/13234694/
カフェ,白鳥,"営業時間
8:00〜15:00
定休日
日曜日",東京都荒川区南千住1-16-4,https://tabelog.com/tokyo/A1324/A132401/13076481/
カフェ,ドトールコーヒーショップ 西日暮里店,"営業時間
平日　　7:30 - 21:00土曜　　7:30 - 21:00日祝　　7:30 - 20:00
日曜営業",東京都荒川区西日暮里5-14-1,https://tabelog.com/tokyo/A1311/A131105/13086841/
カフェ,カフェ＆レストラン談話室 ニュートーキョー,,東京都荒川区西日暮里2-19-4 ニュートーキョービル2Ｆ,https://tabelog.com/tokyo/A1311/A131105/13128485/
カフェ,たうん 尾久店,"営業時間
8:00～17:30
日曜営業
定休日
火曜日",東京都荒川区東尾久4-13-8,https://tabelog.com/tokyo/A1324/A132401/13086685/
カフェ,ベーカリーティールーム ニコ,"営業時間
7:00～19:00
日曜営業
定休日
水曜日",東京都荒川区西尾久3-22-9 TreeTops 1F,https://tabelog.com/tokyo/A1323/A132303/13282714/
カフェ,おいしい水,,東京都荒川区荒川5-21-2,https://tabelog.com/tokyo/A1324/A132401/13179068/
カフェ,カフェ・ド・クリエ プラス ゆいの森あらかわ,"営業時間
9:00～20:30
日曜営業
定休日
無休",東京都荒川区荒川2-50-1 ゆいの森あらかわ 1F,https://tabelog.com/tokyo/A1324/A132401/13206508/
カフェ,オンリー,"営業時間
9:00～18:00
定休日
日曜日",東京都荒川区南千住5-21-8,https://tabelog.com/tokyo/A1324/A132401/13087499/
カフェ,Cafe a la papa,"営業時間
11:00～19:00
日曜営業
定休日
水曜日",東京都荒川区西日暮里3-14-11,https://tabelog.com/tokyo/A1311/A131105/13057908/
カフェ,natural cafe こひきや,"営業時間
※通常営業【火～土】11:30 ～14:30ランチタイム　11:30 ～ 14:30まで（売切次第終了）ラストオーダー14：00新型コロナウイルス感染拡大予防のため、カフェタイム、ディナータイムは当面の間お休みさせていただきます。（2022/4月時点）
定休日
日曜、月曜、祝日（月曜が祝日の場合は火曜も休業となります）",東京都荒川区東尾久5-20-15,https://tabelog.com/tokyo/A1324/A132401/13194970/
カフェ,コーヒーハウスあめみや,"営業時間
[月・火・木・金・土・日]8:30～18:00
定休日
水曜日",東京都荒川区南千住1-15-16,https://tabelog.com/tokyo/A1324/A132401/13060625/
カフェ,Petrichor,,東京都荒川区東日暮里1-6-5,https://tabelog.com/tokyo/A1324/A132401/13256359/
カフェ,喫茶室ルノアール 日暮里東口店,"営業時間
[月～金]7：30～22：00[土・日・祝]8：00～22：00
日曜営業
定休日
なし",東京都荒川区東日暮里5-51-11 静屋ビル ２Ｆ,https://tabelog.com/tokyo/A1311/A131105/13087038/
カフェ,EXCELSIOR CAFFE 日暮里店,"営業時間
7:00～22:00
日曜営業
定休日
無休",東京都荒川区西日暮里2‐19‐6,https://tabelog.com/tokyo/A1311/A131105/13134179/
カフェ,アッシュカフェ,"営業時間
11:30～18:00
日曜営業
定休日
月曜日・木曜日",東京都荒川区西尾久8-45-11,https://tabelog.com/tokyo/A1323/A132303/13220711/
カフェ,MUSE,"営業時間
[月曜～土曜]7:00～19:00(L.O.18:00)【年末年始の営業について】2022年12月29日～2023年1月3日まで休業2023年1月4日 7:00～11:30※5日より通常営業
定休日
日曜・祝日",東京都荒川区南千住4-3-1,https://tabelog.com/tokyo/A1324/A132401/13171662/
カフェ,カフェ ダンドリオン,"営業時間
9:00～17:00モーニング　9:00～11:00ランチ　11:00～14:30
日曜営業
定休日
木曜日",東京都荒川区町屋1-2-17 メゾンド下川 1F,https://tabelog.com/tokyo/A1324/A132401/13247740/
カフェ,はまゆう,"営業時間
9:00～20:00
日曜営業
定休日
不定休",東京都荒川区町屋2-9-10,https://tabelog.com/tokyo/A1324/A132401/13088374/
