,genre,store_name,business_hours,address,url
0,カフェ,プッシュプル,"営業時間
9:00～19:00モーニング9:00～11:00
日曜営業
定休日
月曜日",東京都狛江市岩戸北4-16-8,https://tabelog.com/tokyo/A1318/A131814/13128202/
1,カフェ,ザ バックヤード カフェ,"営業時間
[火～日]11:00～21:00 (L.O.20:00)12/30～1/5年末年始のお休み
日曜営業
定休日
月曜日（振替休日の月曜日は営業します。）",東京都狛江市東和泉1-21-6 1F,https://tabelog.com/tokyo/A1326/A132603/13208070/
2,カフェ,ジ サッカ カフェ,"営業時間
11:00～18:00
日曜営業
定休日
無し",東京都狛江市駒井町1-8-2,https://tabelog.com/tokyo/A1326/A132603/13221578/
3,カフェ,エ プロント 狛江店,"営業時間
［月〜金］7:00～23:00 ［土日祝］8:00～22:00 
日曜営業",東京都狛江市元和泉1-2-2,https://tabelog.com/tokyo/A1326/A132603/13192553/
4,カフェ,ぽえむ 狛江南口店,"営業時間
9:30～21:00(L.O.20.30)
日曜営業
定休日
木曜日",東京都狛江市東和泉1-20-2,https://tabelog.com/tokyo/A1326/A132603/13088619/
5,カフェ,ENJOY COFFEE&BEER,,東京都狛江市岩戸北2-20-3,https://tabelog.com/tokyo/A1318/A131814/13267555/
6,カフェ,星乃珈琲店 ニトリ狛江SC店,"営業時間
10:00～21:30(L.O.20:45)
日曜営業",東京都狛江市岩戸南2-4-3,https://tabelog.com/tokyo/A1318/A131814/13205422/
7,カフェ,NARUTO COFFEE,"営業時間
[月・水～金]8:00～19:00[土・日・祝]8:00～18:00
日曜営業
定休日
火曜日",東京都狛江市東和泉3-9-6 パールシティ山口 1F,https://tabelog.com/tokyo/A1326/A132603/13264712/
8,カフェ,カフェ マメフク,"営業時間
11:30～20:30（LO.20:00）
定休日
日・月曜",東京都狛江市和泉本町1-35-3 ル・ミリオン・イイダ1-B,https://tabelog.com/tokyo/A1326/A132603/13132638/
9,カフェ,コマエ カフェ,"営業時間
（コロナ禍の為、営業時間を以下の通り短縮しております。)DAY TIME：10：00～18：00　last order 17：30
日曜営業
定休日
水曜日",東京都狛江市中和泉1-2-1,https://tabelog.com/tokyo/A1326/A132603/13187721/
10,カフェ,ドトールコーヒーショップ 狛江店,"営業時間
7:00～21:00（L.O.20:45）
日曜営業
定休日
不定休(OdakyuOXに準ずる)",東京都狛江市元和泉1-2-1 OdakyuOX 1F,https://tabelog.com/tokyo/A1326/A132603/13154657/
11,カフェ,堀口珈琲 狛江店,"営業時間
10:00～19:00※喫茶は18:00まで
定休日
月曜日",東京都狛江市和泉本町1-1-30,https://tabelog.com/tokyo/A1326/A132603/13047503/
12,カフェ,Loeuf,"営業時間
11:00～20:00
定休日
日曜日",東京都狛江市中和泉5-31-16,https://tabelog.com/tokyo/A1326/A132601/13111104/
13,カフェ,ケーベース コーヒー ストア,"営業時間
[平日]7:00～21:30[土・日・祝]8:00～20:30
日曜営業",東京都狛江市東和泉1-17-1,https://tabelog.com/tokyo/A1326/A132603/13269480/
14,カフェ,コーヒーガーデン フロンティア,"営業時間
9:30～19:00",東京都狛江市中和泉1-2 エクセルプラザ 1F,https://tabelog.com/tokyo/A1326/A132603/13235316/
15,カフェ,スノウドロップ,"営業時間
[月～木]11:00～18:30(L.O.18:00)[日・祝]13:00～18:30(L.O.18:00)
日曜営業
定休日
金曜日、土曜日",東京都狛江市和泉本町1-2-6 2F,https://tabelog.com/tokyo/A1326/A132603/13168445/
16,カフェ,アジアンキャッツカフェ,"営業時間

日曜営業
定休日
月曜日、火曜日、水曜日",東京都狛江市岩戸北4-17-11,https://tabelog.com/tokyo/A1318/A131814/13214204/
17,カフェ,ブティック＆喫茶ゆう,,東京都狛江市中和泉3-28-2,https://tabelog.com/tokyo/A1326/A132603/13088528/
18,カフェ,アンシャンテ ハーバル カフェ,"営業時間
12:04～17:04
定休日
月曜日、火曜日、水曜日、日曜日、祝日",東京都狛江市猪方1-10-10,https://tabelog.com/tokyo/A1326/A132603/13194464/
19,カフェ,タウンカフェ,,東京都狛江市東野川3-17-2,https://tabelog.com/tokyo/A1318/A131814/13235373/
20,カフェ,ケーベース ロースタリーラボ,"営業時間
［月～金］9:00～22:00［土・日・祝］11:00～18:00
日曜営業
定休日
水曜日",東京都狛江市中和泉2-11-1 中和泉第一マンション106,https://tabelog.com/tokyo/A1326/A132603/13230827/
21,カフェ,BLUE カフェ,"営業時間
[火・水・木]10:00～15:00",東京都狛江市東和泉4-11-21,https://tabelog.com/tokyo/A1326/A132603/13265093/
22,カフェ,泉の森会館 カフェ,"営業時間
11:30～17:00
日曜営業
定休日
不定休",東京都狛江市元和泉1-8-12 泉の森会館 2F,https://tabelog.com/tokyo/A1326/A132603/13210511/
23,カフェ,ケンコー コーヒー,"営業時間
10:00～16:00
定休日
月曜日・日曜日・祝日",東京都狛江市中和泉5-26-5 B1F,https://tabelog.com/tokyo/A1326/A132601/13204094/
24,カフェ,ハンズプレイス・カフェ,,東京都狛江市和泉本町1-25-5,https://tabelog.com/tokyo/A1326/A132603/13227668/
25,カフェ,ウィークエンド グリーン＆カフェ,"営業時間
11:30～18:00
日曜営業
定休日
水曜日、木曜日",東京都狛江市猪方3-22-6,https://tabelog.com/tokyo/A1326/A132603/13237168/
26,カフェ,アナログカフェ,,東京都狛江市東和泉1-19-3 ハイム狛江 1F,https://tabelog.com/tokyo/A1326/A132603/13243479/
27,カフェ,ゆらり,,東京都狛江市岩戸南2-22-6,https://tabelog.com/tokyo/A1326/A132603/13220964/
28,カフェ,チャイナキッチン,,東京都狛江市和泉本町4-5-28,https://tabelog.com/tokyo/A1326/A132603/13212617/
