n,business_hours
0,"営業時間
【2F】月曜～金曜：9:00～22:00(21:00LO)土日・祝日：9:00～22:00(21:00LO)【3F Roof Top Terrace】…現在クローズしております（オープン状況はご確認ください）※ラストオーダー時刻は、オフィシャルサイトでご確認ください。
日曜営業
定休日
不定休"
1,"営業時間
11:00～22:00(フードL.O.21:00 ドリンクL.O.21:30)ランチ：11：00～16：00ディナー：18：00～22：00
日曜営業
定休日
不定休"
2,"営業時間
[月～金]11:30～21:00（LO）[土・日・祝]11:30～20:00（LO）
日曜営業
定休日
不定休   ※丸の内センタービル準ずる。　年末年始は、12/30～1/3休業いたします。"
3,"営業時間
[全日]11:30～22:00※状況により営業時間を変更する場合がございます。
日曜営業
定休日
不定休（施設に準ずる）"
4,"営業時間
[月火水木金]モーニング  7:00〜10:00(LO9:30)ランチ　　11:30〜15:00(LO14:30)ディナー　17:00～23：00(LO22：00)［土日祝］モーニング  7:00〜10:00(LO9:30)ランチ　　　予約制で1階のみディナー　17:00～23：00(LO22：00)
日曜営業
定休日
なし"
5,"営業時間
【ランチ】11:00～14:00【カフェ】14:00～17:00【ディナー】17:00～21:00
定休日
土日祝"
6,"営業時間
【月〜木】10:00〜17:30（17:00 L.O）【金・土・日・祝】10:00〜18:00（17:30 L.O）
日曜営業
定休日
★年中無休"
7,"営業時間
【通常営業時間】11：00～22：00（L.O. 21:00）　※特殊なヴィーガン料理（オリエンタルヴィーガン等）は、メニューの構成上、対応をお断りさせて頂く場合がございます。ご了承くださいませ。
日曜営業
定休日
不定休 ※施設に準ずる"
8,"営業時間
[月-金] 11:30 - 23:00 (L.O 22:00)◾️LUNCH TIME 11:30 - 15:00◾️CAFE TIME 15:00 - 17:00◾️DINNER TIME 17:00 - 21:00
定休日
日曜日"
9,"営業時間
月～金8:30～21:00（L.O.19:30、ドリンクL.O.20:00）土日祝休業
定休日
不定休(ワテラスタワーに準ずる)"
10,"営業時間
[月～金]12:00～23:00(L.O:22:30)
定休日
日曜日"
11,"営業時間
〈朝食〉　6:30～10:00(L.O)〈ランチ〉　11:00～〈スーパースイーツビュッフェ〉【WEBより事前予約制】　11:30～※各90分制　※繁忙日により時間が変更になる場合がございます〈ティータイム〉　　15:00～18:00
日曜営業
定休日
無休"
12,"営業時間
11:00～21:00(L.O 20:00)
日曜営業
定休日
年中無休"
13,"営業時間
11:00-21:00・パンケーキ/料理（L.O　20:00)・その他デザート/ドリンク(L.O 20:30)
日曜営業
定休日
館の休みに準ずる"
14,"営業時間
・書店   　11：00～18：00・カフェ　11：00～18：00（フード/スイーツ/ドリンク共にL.O.17：00）（平日）    　11：00～18：00（フード/スイーツL.O.17：00/ドリンクL.O.17：30）（土日祝）・バーリリパット（平日のみ営業）　　　　　20：00～23：30（L.O.23：00）
日曜営業
定休日
[年中無休]  ※年末年始はお休みさせていただきます。"
15,"営業時間
[月～金]11:30～15:00 18:00～22:00(21:00L.O）[土]16:00～21:00(20:00L.O)
定休日
日曜日、祝日　詳細はInstagramを確認ください。"
16,"営業時間
平日 11:00～22:00（L.O21：30）土日祝 11:00～21:30（L.O21：00）注.1)キャッシュレス店舗のため現金が使えません注.2)混雑時お席は90-120分目安にお願いしております。ご了承ください
日曜営業
定休日
無休（新丸ビルに準ずる）年末年始は元旦のみお休みさせていただきます"
17,"営業時間
11:30～22:00
日曜営業
定休日
なし"
18,"営業時間
11:00〜21:0020:00(フードL.O)20:30(ドリンク&デザートL.O)〈年末年始営業時間〉2023.12.31　　11:00～18:302024.1.1　　 　休業2024.1.2　　　 休業2024.1.3　　　 休業
日曜営業
定休日
施設に準ずる"
19,"営業時間
※ランゲージ・エクスチェンジ（言語交換）開催中!!   日本語・英語・スペイン語の言語交流が可能です♪※テイクアウト・デリバリーも実施しております。※日曜営業
定休日
無休"
20,"営業時間
7:00～23:00(L.O 22:00)
日曜営業
定休日
年中無休"
21,"営業時間
[平日：月火木金]11:30～16:00(L.O.15:30)　[土]13:00〜17:30(L.O.17:00)※水・日・祝定休、ほか不定休あり
定休日
【不定休】水曜日、日曜、祝日、お盆、年末年始"
22,"営業時間
[月～日]7:00～21:00
日曜営業
定休日
不定休"
23,"営業時間
平日 　8:00-22:30（LO. 22:00）土日祝 9:00-22:30（LO. 22:00）
日曜営業
定休日
無し"
24,"営業時間
[月～金] 9:00～19:00[土・日・祝]10:00～19:00
日曜営業
定休日
不定休"
25,"営業時間
10:00～22:00
定休日
アトレ秋葉原１に準ずる"
26,"営業時間
月〜金：11:00～21:00【ランチタイム】 11:00〜15:00
定休日
土日祝　 (貸切パーティーのみ対応可)"
27,
28,"営業時間
[火～木]　　ランチ　11：30～14：30（L.O14：00）　ディナー　17：00～23：30 (L.O23：00)[金・土・祝]　17：00～23：30 (L.O23：00)
定休日
日・月"
29,"営業時間
［月～金］7:00～17:00［土］7:00～15:00
定休日
日曜日、祝日、第2土曜日"
30,
31,"営業時間
［月～金］7:30～23:00［土］8:00～23:00［日］8:00～22:00
日曜営業
定休日
無休"
32,"営業時間
［火～金］11:30～22:00［土・祝］12:00～22:00
定休日
月曜日、日曜日"
33,"営業時間
月～土 11:00～23:00日祝日 11:00～22:30
日曜営業
定休日
ＳＣに準ずる"
34,"営業時間
[平日]8:00～18:00[土.日.祝]10:00～18:00※営業時間は時期により変動あり
日曜営業
定休日
無し"
35,"営業時間
[月~金]11：30〜24：00(L.O.23:00)[土]12：00～22：00(L.O.21:00)[日祝]定休日
定休日
日曜日、祝祭日"
36,"営業時間
[月～金]7:00～22:00[土・日]8:00～22:00
日曜営業
定休日
不定休"
37,"営業時間
11:30～13:30(L.O.13:00)17:00～22:00(L.O.20:30)
定休日
土曜日、日曜日、祝日"
38,"営業時間
11:00～20:00
日曜営業
定休日
無休"
39,"営業時間
11：00～17：00(L.O 16：30)
日曜営業
定休日
年末年始など"
40,"営業時間
10:30-20:40FRI10:30-21:20
定休日
施設に順ずる"
41,"営業時間
8:00～21:00
日曜営業
定休日
無休"
42,"営業時間
[月～土] 11:00～24:00 
定休日
日曜休"
43,"営業時間
11:00～19:30(L.O.19:00)※金曜は11:00～20:30(L.O.20:00)★ランチタイム平日   11:00～14:00（L.O.）土日祝 11:00～14:30（L.O.）
日曜営業
定休日
毎週月曜日(祝日を除く)"
44,"営業時間
[月～金]11:00～18:00(L.O.17:30)
定休日
土曜・日曜・祝日"
45,"営業時間
7:00～22:00
日曜営業
定休日
無休"
46,"営業時間
〈平日〉9:00～21:00〈休日〉10:00～18:00　※営業時間等は変更になる場合がございます
定休日
年末年始"
47,
48,"営業時間
月〜金曜日(7:00〜19:00)土曜日(10:00〜17:00)2012年１月から土曜も営業
定休日
日祝"
49,"営業時間
8:00～20:00"
50,"営業時間
[月～金] 7:30～20:00 [土] 8:00～20:00 [日・祝] 8:30～19:30
日曜営業"
51,"営業時間
[月～金] 7:30～20:30[土・日・祝] 8:00～20:30
日曜営業
定休日
無休"
