店舗名,営業時間,住所
ドミセ渋谷道玄坂通店,10:00～ 5:00,〒150-0043                                                                 東京都渋谷区道玄坂2-25-12
京急蒲田店,8:00～23:00,〒150-0043                                                                 東京都大田区蒲田4丁目50-11 ウィングキッチン京急蒲田内
秋葉原店,24時間営業,〒101-0021                                                                 東京都千代田区外神田4丁目3-3
お菓子ドンキ・お酒ドンキ,9:00～21:00,〒104-0028                                                                 東京都中央区八重洲2-1 八重洲地下街北1号（外堀地下2番通り）
銀座本館,7:00～ 2:00,〒104-0061                                                                 東京都中央区銀座8-10 銀座ナイン3号館
六本木店,24時間営業,〒106-0032                                                                 東京都港区六本木3-14-10
ピカソ赤坂店,7:00～ 3:00,〒107-0052                                                                 東京都港区赤坂3-11-14
プラチナ ドン・キホーテ白金台店,24時間営業,〒108-0071                                                                 東京都港区白金台3-15-5
御徒町店,9:00～ 1:00,〒110-0005                                                                 東京都台東区上野4丁目1－10
浅草店,24時間営業,〒111-0032                                                                 東京都台東区浅草2-10
後楽園店,24時間営業,〒113-0033                                                                 東京都文京区本郷1-33-9
上野店,9:00～ 4:00,〒113-0034                                                                 東京都文京区湯島3-38-10
赤羽東口店,24時間営業,〒115-0045                                                                 東京都北区赤羽1丁目 5-4
町屋店（閉店いたしました）,9:00～ 3:00,〒116-0001                                                                 東京都荒川区町屋　6-32-21
北千住西口店,9:00～ 5:00,〒120-0034                                                                 東京都足立区千住2-25-1
MEGAドン・キホーテ環七梅島店,9:00～ 5:00,〒121-0011                                                                 東京都足立区中央本町5-5-14
竹の塚店,9:00～ 3:00,〒121-0813                                                                 東京都足立区竹の塚6-11-10
西新井駅前店,7:00～ 2:00,〒123-0843                                                                 東京都足立区西新井栄町2-3-14
ピカソ新小岩店,24時間営業,〒124-0024                                                                 東京都葛飾区新小岩1-30-2
青戸店,9:00～ 5:00,〒125-0062                                                                 東京都葛飾区青戸3-1-1
錦糸町北口店,9:00～ 4:00,〒130-0013                                                                 東京都墨田区錦糸2丁目3－11
ラパーク瑞江店,9:00～ 1:00,〒132-0011                                                                 東京都江戸川区瑞江2-1-2
ピカソ環七江戸川店,9:00～ 0:00,〒132-0022                                                                 東京都江戸川区大杉3-10-1
ピカソ小岩駅前店,24時間営業,〒133-0056                                                                 東京都江戸川区南小岩7-27-18
葛西店,10:00～ 4:00,〒134-0081                                                                 東京都江戸川区北葛西4-14-1
情熱職人葛西店,6:00～23:00,〒134-0081                                                                 東京都江戸川区北葛西4-14-23
キラキラドンキ ダイバーシティ東京 プラザ店,10:00～21:00,〒135-0064                                                                 東京都江東区青海1-1-10　ダイバーシティ東京 プラザ　2階
亀戸店,9:30～ 4:00,〒136-0071                                                                 東京都江東区亀戸1-40-2
五反田東口店,8:00～ 1:00,〒141-0022                                                                 東京都品川区東五反田一丁目12番地7号
BIGFUN平和島店,7:00～ 3:00,〒143-0006                                                                 東京都大田区平和島1-1-1
MEGAドン・キホーテ大森山王店,8:00～ 3:00,〒143-0023                                                                 東京都大田区山王3-6-3
ソラドンキ羽田空港店,9:00～22:00,〒144-0041                                                                 東京都大田区羽田空港2-6-5　国際線旅客ターミナルビル5階
蒲田駅前店,24時間営業,〒144-0051                                                                 東京都大田区西蒲田7丁目3-3
MEGAドン・キホーテ渋谷本店,24時間営業,〒150-0042                                                                 東京都渋谷区宇田川町28-6
中目黒本店,24時間営業,〒153-0042                                                                 東京都目黒区青葉台2-19-10
ピカソ目黒駅前店,24時間営業,〒153-0064                                                                 東京都目黒区下目黒1-1-15
ピカソ三軒茶屋店,24時間営業,〒154-0024                                                                 東京都世田谷区三軒茶屋2-12-12
下北沢店,8:00～ 1:00,〒155-0031                                                                 東京都世田谷区北沢二丁目3-6
環八世田谷店,9:00～ 4:30,〒156-0056                                                                 東京都世田谷区八幡山3-39
新宿歌舞伎町店,24時間営業,〒160-0021                                                                 東京都新宿区歌舞伎町1-16-5
新宿東南口店,24時間営業,〒160-0022                                                                 東京都新宿区新宿3丁目36-16
新宿明治通り店,24時間営業,〒162-0052                                                                 東京都新宿区戸山3-16-6
新宿店,24時間営業,〒169-0072                                                                 東京都新宿区大久保1-12-6
新大久保駅前店,24時間営業,〒169-0073                                                                 東京都新宿区百人町2-17-1
高田馬場駅前店,24時間営業,〒169-0075                                                                 東京都新宿区高田馬場1-26-5
中野駅前店,10:00～ 5:00,〒164-0001                                                                 東京都中野区中野5-68-5
荻窪駅前店,8:00～ 3:00,〒167-0032                                                                 東京都杉並区天沼3-2-8
環七方南町店,9:00～ 5:00,〒168-0062                                                                 東京都杉並区方南1-28-3
ピカソ桜上水店,7:00～ 2:00,〒168-0073                                                                 東京都杉並区下高井戸2-10
ピカソ大塚北口駅前店,24時間営業,〒170-0004                                                                 東京都豊島区北大塚2-2-1
北池袋店,24時間営業,〒170-0011                                                                 東京都豊島区池袋本町2-7-5
池袋駅西口店,24時間営業,〒171-0021                                                                 東京都豊島区西池袋1-43-12
池袋東口駅前店,24時間営業,〒171-0022                                                                 東京都豊島区南池袋1-22-5
MEGAドン・キホーテ板橋志村店,9:00～ 5:00,〒174-0056                                                                 東京都板橋区志村3-32-16
エッセンス 関町店,10:00～ 1:00,〒177-0051                                                                 東京都練馬区関町北2-2-1
練馬店,9:00～ 3:00,〒179-0082                                                                 東京都練馬区錦2-19-1
