,genre,store_name,business_hours,address,url
0,居酒屋,創作ダイニング いつつ,"営業時間
[月～日] 17:00～翌1:00 （料理L.O. 翌0:00 ドリンクL.O. 翌0:30）
日曜営業
定休日
無休",東京都府中市府中町1-8-12 キャッスルプラザビル 2F,https://tabelog.com/tokyo/A1326/A132602/13266574/
1,居酒屋,旨唐揚げと居酒メシ ミライザカ 府中並木通り店,"営業時間
17:00～翌日03:00土曜・日曜は14:00～翌日03:00※祝休日は曜日に準じる。※12/24(日)は14:00～翌日01:00の営業とさせて頂きます。
日曜営業
定休日
無休",東京都府中市宮西町1-2 並木西ビル 3F,https://tabelog.com/tokyo/A1326/A132602/13211312/
2,居酒屋,ぶら日,"営業時間
[月～土］営業時間　　　　18:00～23:00ラストオーダー　お食事　22:00　　　　　　　　お飲物　22:30
定休日
日曜日",東京都府中市府中町2-2-4 G Clef B1F,https://tabelog.com/tokyo/A1326/A132602/13253178/
3,居酒屋,全席個室 楽蔵 府中店,"営業時間
17:00～23:30 ※営業時間前も宴会可能！(早割・遅割特典有)※公式ホームページにも、分かりやすくお得な情報が満載です!!以下の『お店のホームページ』からお越しください♪
日曜営業
定休日
無休",東京都府中市宮西町1-5-1 菱宏ビル 4F,https://tabelog.com/tokyo/A1326/A132602/13177277/
4,居酒屋,ジビエ×鍋 けやき酒場,"営業時間
火～金曜日　17:00～22:30(22:00L.O)土・日・祝　16:00～22:30(22:00L.O)
日曜営業
定休日
 月曜日 第1火曜日、第3火曜日",東京都府中市宮西町2-9-9 こだまビル 2F,https://tabelog.com/tokyo/A1326/A132602/13246146/
5,居酒屋,鳥光國 府中店,"営業時間
火～木11:30～14:3017:00～22:30金、祝前日11:30～14:3017:00～23:00土11:30～23:00日、祝日11:30～21:30※日曜日が祝前日（翌月曜日が祝日）の場合は閉店時間21:30→23:00となります。
日曜営業
定休日
年末年始（2023年12月31日・2024年1月1日）はお休みとさせていただきます。※月曜日※月曜日が祝日の場合は翌火曜日が定休日となります。",東京都府中市宮町1-100 ル・シーニュ 3F,https://tabelog.com/tokyo/A1326/A132602/13210672/
6,居酒屋,耕コウチキン,"営業時間
[火水木金土日]15:30〜23:00（〜22:00フードLO・〜22:30ドリンクLO）コロナ感染症対策に伴い閉店時間を変更している場合がございます。
日曜営業
定休日
月曜日",東京都府中市宮西町1-12-1,https://tabelog.com/tokyo/A1326/A132602/13250220/
7,居酒屋,府中日本酒バルTOKUTOUSEKI,"営業時間
平日　 17:30～23:30(LO23:00)土日祝 15:00～23:30(LO23:00)【年末年始営業のお知らせ】12/25～30：15:00～23:30（Lo.23:00）12/31.1/1：休業1/2.3：14:00～22:30（Lo.22:00）
日曜営業
定休日
不定休",東京都府中市宮西町2-11-11 岩本ビル　２Ｆ,https://tabelog.com/tokyo/A1326/A132602/13031325/
8,居酒屋,和酒厨房 ばさら,"営業時間
【月火水木】ディナー17:00～23：00(L.O22:00)【金土】17:00～24：00（L O 23:00）【日・祝】17:00～23:00(L.O22:00)
日曜営業
定休日
基本無休！",東京都府中市府中町1-25-12 ゼルコバビル B1F,https://tabelog.com/tokyo/A1326/A132602/13039435/
9,居酒屋,個室居酒屋 鶏十兵衛 府中店,"営業時間
【月～金】17:00~24:00(L.O23:30)【土日・祝日】16:00~24:00(L.O23:30)
日曜営業
定休日
無休",東京都府中市府中町1-8-12 キャッスルプラザ府中 B1F,https://tabelog.com/tokyo/A1326/A132602/13226825/
10,居酒屋,ドイツ酒場 ケラー,"営業時間
月〜日・祝　15:00~23:00
日曜営業
定休日
不定休",東京都府中市宮町1-23-9 中野ビル B1F,https://tabelog.com/tokyo/A1326/A132602/13280079/
11,居酒屋,まんなかや,"営業時間
【月〜金】17:00〜24:00土曜日、日曜日は16:00〜23:00で全力で営業しております。
定休日
火曜日",東京都府中市本町2-20-73,https://tabelog.com/tokyo/A1326/A132602/13214438/
12,居酒屋,都夏 府中,"営業時間
【月〜金】11:00〜15:00/18:00〜23:00【土日祝】11:00〜23:00
日曜営業
定休日
無し",東京都府中市府中町1-2-1 ぷらりと京王府中 東1F,https://tabelog.com/tokyo/A1326/A132602/13275797/
13,居酒屋,府中 完全個室居酒屋 ゆずの助,"営業時間
月～木: 17:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）金・土・日: 16:30～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）****************************お昼の予約も受け付けておりますのでお電話でお問い合わせください！****************************
日曜営業
定休日
無［年始休業1/1、1/2、1/3］",東京都府中市府中町2-2-2 5F,https://tabelog.com/tokyo/A1326/A132602/13224309/
14,居酒屋,全席個室 鮮や一夜 府中店,"営業時間
17:00～23:30 ※営業時間前も宴会可能！(早割・遅割特典有)※公式ホームページにも、分かりやすくお得な情報が満載です!!以下の『お店のホームページ』からお越しください♪
日曜営業
定休日
無",東京都府中市宮西町1-3-3 Bビル 5F,https://tabelog.com/tokyo/A1326/A132602/13199522/
15,居酒屋,居酒屋 かまどか 府中店,"営業時間
16時～24時ラストオーダーフード23：30ドリンク23：45【金・土・祝前日】16時～26時　※深夜再開！▼2022/12/5～は下記営業時間となります。月～木・日・祝16時～24時、金・土・祝前日16時～翌3時
日曜営業
定休日
年中無休",東京都府中市宮西町1-2-1 フラココ第6ビル 4F,https://tabelog.com/tokyo/A1326/A132602/13026739/
16,居酒屋,九州酒場ウオカツ,"営業時間
[火～金]17:00-23:00[土]16:00-23:00[日・祝]16:00-22:00（料理L.O.1時間前、ドリンクL.O.30分前）
日曜営業
定休日
月曜日",東京都府中市本町1-10-1 フレール府中 1F,https://tabelog.com/tokyo/A1326/A132602/13274294/
17,居酒屋,ツバメキッチン,"営業時間
<ランチ>11:30〜14:0013:30ラストオーダー<ディナー>平日17:30〜23:00土日祝17:00〜23:00お食事ラストオーダー22:00お飲み物ラストオーダー22:30
日曜営業
定休日
月曜日",東京都府中市宮西町1-16-1 府中グリーンハイツ 1F,https://tabelog.com/tokyo/A1326/A132602/13245117/
18,居酒屋,魚民 西府北口駅前店,"営業時間
月～木 17:00～02:00金・土・祝前 17:00～03:00日・祝日 17:00～01:00※ラストオーダーは料理、ドリンク閉店30分前
日曜営業
定休日
年中無休",東京都府中市本宿町1-46-8 西府駅エクセルポートビル 2F,https://tabelog.com/tokyo/A1326/A132602/13164657/
19,居酒屋,旬菜・美酒・やちよ,"営業時間
17:00～22:00(L.O21:30)
定休日
日曜日・祝日(土曜日が祝日の場合は営業)・お盆・年末年始",東京都府中市宮町1-34-2 サンスクエアビル 1F,https://tabelog.com/tokyo/A1326/A132602/13275613/
20,居酒屋,DEN's 酒店 鶴亀,"営業時間
全日17:00～23:30(フード・ドリンクL.O.23:00　一部フードL.O.22:30)●時間外営業はご相談下さい
日曜営業
定休日
年末年始休業あり(年末30日まで営業、年始2日から営業)",東京都府中市宮西町2-3-3 矢島ビル2F,https://tabelog.com/tokyo/A1326/A132602/13052187/
21,居酒屋,KikiZakeダイニング志喜,"営業時間
【火〜木】18:00～23：00（foodLO22:00/drinkLO22:40)【金.土】18:00〜24:00(foodLO23:00/drinkLO23:40)
日曜営業
定休日
月曜日",東京都府中市府中町1-27-8,https://tabelog.com/tokyo/A1326/A132602/13032341/
22,居酒屋,呑み喰いどころじゅんちゃん,"営業時間
17:00-22:30２１：３０入店終了 フードラストオーダー22:00 ドリンクラストオーダー
定休日
日曜日 第２第４月曜日",東京都府中市是政5-7-1 コーポラス39 105,https://tabelog.com/tokyo/A1326/A132602/13177231/
23,居酒屋,目利きの銀次 府中ル・シーニュ店,"営業時間
月-木 11:00-23:00金・土・祝前日 11:00-23:00日・祝日 11:00-23:00【2023/2/20休業】
日曜営業
定休日
年中無休",東京都府中市宮町1-100 ル・シーニュ 3F,https://tabelog.com/tokyo/A1326/A132602/13210934/
24,居酒屋,UOYAしげぞう,"営業時間
[火～木]17:00〜23:00(L.O.22:00)[金・土]17:00〜23:30(料理L.O.22:30 ドリンクL.O.23:00)[日・祝]17:00〜22:30(L.O.22:00)
日曜営業
定休日
月曜日",東京都府中市府中町2-6-1 プラウド府中セントラル 1F,https://tabelog.com/tokyo/A1326/A132602/13220938/
25,居酒屋,たま酒場,"営業時間
１Ⅰ月の店休日・未定営業時間   17時30分開店　24時閉店（月・火23時閉店）最終オーダーから1時間過ぎるとお会計をお願いする事があります
日曜営業
定休日
不定休",東京都府中市紅葉丘3-41-10,https://tabelog.com/tokyo/A1326/A132602/13175837/
