,genre,store_name,business_hours,address,url
0,ラーメン,煮干し中華そば 煙,"営業時間
11:00～21:00
日曜営業
定休日
無休",東京都多摩市永山1-18-1 京王リトナード永山 1F,https://tabelog.com/tokyo/A1327/A132702/13282637/
1,ラーメン,長崎らーめん 西海製麺所 多摩センター店,"営業時間
11:00～20:00(スープがなくなり次第終了)
日曜営業
定休日
無休",東京都多摩市落合3-11-2,https://tabelog.com/tokyo/A1327/A132702/13005950/
2,ラーメン,節極,"営業時間
[月～土]11:00～23:00[日]11:00～17:00
日曜営業
定休日
無休",東京都多摩市関戸2-39-1 アバック角屋ビル 1F,https://tabelog.com/tokyo/A1327/A132702/13184850/
3,ラーメン,麺でる 多摩センター店,,東京都多摩市豊ヶ丘1-21-6,https://tabelog.com/tokyo/A1327/A132702/13140659/
4,ラーメン,831家 和田店,,東京都多摩市和田2000-13 コーポドリアン 1F,https://tabelog.com/tokyo/A1329/A132903/13214480/
5,ラーメン,らあめん花月嵐 多摩野猿街道店,"営業時間
[店内営業時間]11:00～24:00（L.O.23:45）[出前館受付時間]11:00～21:00[Uber Eats受付時間]11:00～21:00
日曜営業
定休日
なし",東京都多摩市和田2000-16,https://tabelog.com/tokyo/A1329/A132903/13055959/
6,ラーメン,喜多方ラーメン坂内 多摩センター店,"営業時間
［月～土］11:00～22:00［日・祝］10:30～21:00
日曜営業
定休日
無休",東京都多摩市落合1-45-1 丘の上パティオ本館 1F,https://tabelog.com/tokyo/A1327/A132702/13139020/
7,ラーメン,特一番 聖蹟桜ケ丘店,,東京都多摩市関戸1丁目11-5,https://tabelog.com/tokyo/A1327/A132702/13026104/
8,ラーメン,小川流 多摩貝取店,"営業時間
[月～金]11:00～15:0017:30～22:00[土・日・祝]11:00～22:00【年末年始営業のお知らせ】2023/12/28⇒通常営業12/29⇒11時～15時、17時30分～21時12/30～2024/1/3⇒休業1/4⇒11時～20時（通し営業）1/5～⇒通常営業
定休日
年末年始",東京都多摩市貝取3-10-2,https://tabelog.com/tokyo/A1327/A132702/13212342/
9,ラーメン,とん龍,"営業時間
[月～金]11:30～14:00 20:00～24:00[土]20:00～24:00
定休日
日曜日・祝日",東京都多摩市落合1-9-6,https://tabelog.com/tokyo/A1327/A132702/13120760/
10,ラーメン,日高屋 多摩センター店,"営業時間
［月・火・水・木・土・日］10:30～23:00(L.O.22:30)［金］10:30～24:00(L.O.23:30)
日曜営業
定休日
無休",東京都多摩市落合1-41-1 マグレブWEST 2F,https://tabelog.com/tokyo/A1327/A132702/13223730/
11,ラーメン,辛子堂,"営業時間
11:00～15:0017:00～スープがなくなり次第
日曜営業
定休日
水曜日及び木曜日",東京都多摩市馬引沢2-17-13-102,https://tabelog.com/tokyo/A1327/A132702/13155788/
12,ラーメン,ぶっ豚 聖蹟桜ヶ丘店,"営業時間
11:30～15:3017:00～23:00",東京都多摩市関戸2-39-17 桜ヶ丘コートビレッジ 1F,https://tabelog.com/tokyo/A1327/A132702/13241322/
13,ラーメン,地鶏と金目鯛 中華そば 鶯,,東京都多摩市関戸1-12-5,https://tabelog.com/tokyo/A1327/A132702/13276418/
14,ラーメン,えび豚骨拉麺 春樹 多摩センター店,"営業時間
[月～日]11:00～23:00(L.O.22:30)
日曜営業
定休日
年中無休",東京都多摩市落合 1-39-1 マグレブEAST 7F,https://tabelog.com/tokyo/A1327/A132702/13150190/
15,ラーメン,GYUTON,"営業時間
[月～土]11:00～15:00　18:00～21:00(スープ終わり次第終了)
定休日
日曜日",東京都多摩市関戸2-40-10,https://tabelog.com/tokyo/A1327/A132702/13276487/
16,ラーメン,らぁ麺 はやし田 多摩センター店,"営業時間
11:00～23:00
日曜営業
定休日
無休",東京都多摩市落合1-41-1 マグレブwest 2F,https://tabelog.com/tokyo/A1327/A132702/13249824/
17,ラーメン,たま家,"営業時間
[水～土]7:00～20:00[日]7:00～15:00 
日曜営業
定休日
月曜日、火曜日",東京都多摩市愛宕4-8-12,https://tabelog.com/tokyo/A1327/A132702/13010092/
18,ラーメン,つけめん 桜坂,"営業時間
11:00～20:00
日曜営業
定休日
無休",東京都多摩市関戸1-10-1 京王聖蹟桜ヶ丘ショッピングセンター クラウン街,https://tabelog.com/tokyo/A1327/A132702/13098134/
19,ラーメン,長崎らーめん 西海製麺所 聖蹟桜ヶ丘店,"営業時間
11:00～20:00
日曜営業
定休日
無休",東京都多摩市関戸2-41-1 聖蹟桜ヶ丘クラウン街 東高架下,https://tabelog.com/tokyo/A1327/A132702/13026102/
20,ラーメン,すごい煮干ラーメン 凪 多摩センター店,"営業時間
[月～日]11:00～22:00(L.O.21:00)
日曜営業
定休日
無休",東京都多摩市落合1-11-2 小田急マルシェ多摩センター 2F,https://tabelog.com/tokyo/A1327/A132702/13265943/
21,ラーメン,らあめん花月嵐 多摩センター店,"営業時間
【月曜～木曜・日曜】11:00～25:00【金・土曜、祝前日】11:00～26:00[テイクアウト販売時間]11:00～20:00
日曜営業
定休日
なし",東京都多摩市愛宕4-7-6,https://tabelog.com/tokyo/A1327/A132702/13055926/
22,ラーメン,日高屋 小田急マルシェ永山店,"営業時間
[月～土]10:00～翌2:00(L.O.1:30)[日・祝]10:00～24:00(L.O.23:30)
日曜営業
定休日
不定休",東京都多摩市永山1-18-2,https://tabelog.com/tokyo/A1327/A132702/13127652/
