genre,store_name,business_hours,address,url,Cleaned_Address,Latitude,Longitude
居酒屋,魚民 東久留米西口駅前店,"営業時間
月曜-木曜：17:00～01:00金曜：17:00～03:00土曜：17:00～03:00日祝：17:00～00:00
日曜営業
定休日
年中無休",東京都東久留米市本町1-3-9 リバーウエストビルズ 3F,https://tabelog.com/tokyo/A1328/A132802/13193858/,東京都東久留米市本町1-3-9 リバーウエストビルズ 3F,139.532852,35.760178
居酒屋,寿司居酒屋 や台ずし 東久留米駅東口町,"営業時間
全日16:00～2:00
日曜営業
定休日
年中無休（年末年始はお問合せください）",東京都東久留米市東本町3-2,https://tabelog.com/tokyo/A1328/A132802/13236347/,東京都東久留米市東本町3-2,139.534195,35.761497
居酒屋,オステリ家 小厨房,"営業時間
11:00～14:30 17:30～22:00
定休日
日曜日",東京都東久留米市本町3-11-17 パルク東久留米　１Ｆ,https://tabelog.com/tokyo/A1328/A132802/13010159/,東京都東久留米市本町3-11-17 パルク東久留米　１Ｆ,139.529907,35.760998
居酒屋,やきとり にしだ場 東久留米店,"営業時間
16:00～23:00
日曜営業
定休日
12/31、1/1",東京都東久留米市本町1-3-30,https://tabelog.com/tokyo/A1328/A132802/13220097/,東京都東久留米市本町1-3-30,139.532166,35.75983
居酒屋,料理とお酒 えだまめ,,東京都東久留米市滝山5-22-15,https://tabelog.com/tokyo/A1328/A132802/13276267/,東京都東久留米市滝山5-22-15,139.500763,35.747486
居酒屋,食彩酒房 宝山,"営業時間
17:00～22:00(L.O.21:30)
日曜営業
定休日
水曜日",東京都東久留米市本町1-1-27,https://tabelog.com/tokyo/A1328/A132802/13227185/,東京都東久留米市本町1-1-27,139.531799,35.762085
居酒屋,SHUNKATOU,,東京都東久留米市幸町4-4-1,https://tabelog.com/tokyo/A1328/A132802/13270982/,東京都東久留米市幸町4-4-1,139.516068,35.755367
居酒屋,鳥かつダイニング,"営業時間
16:30～23:00（LO22:00）
日曜営業
定休日
水曜日",東京都東久留米市本町1-13-1 コンフォール東久留米 1F,https://tabelog.com/tokyo/A1328/A132802/13181676/,東京都東久留米市本町1-13-1 コンフォール東久留米 1F,139.533966,35.759003
居酒屋,水炊き・焼鳥 とりいちず酒場 東久留米店,"営業時間
【月～金、祝前日】16:00～翌3:00（料理L.O. 翌2:00 ドリンクL.O. 翌2:30）【土日祝】12:00～翌3:00（料理L.O. 翌2:00 ドリンクL.O. 翌2:30）※22時～閉店までにご来店のお客様は、深夜料金10%加算いたします。【年末年始】※12/28〜1/2：土曜時間　※1/3：日曜時間  ※12月28日～1月3日：年末年始料金10％いただきます
日曜営業
定休日
年始(1/1)、他無休！　◆絶品水炊きとデカ旨焼鳥がおすすめのコスパ最強居酒屋♪プレモル中ジョッキが税込219円とコスパも最強！◆大人数宴会可能！…会社宴会・打ち上げ・飲み会等の各種宴会に是非ご利用ください！",東京都東久留米市東本町5-3 アミコムオーヴ01ビル 1F,https://tabelog.com/tokyo/A1328/A132802/13230425/,東京都東久留米市東本町5-3 アミコムオーヴ01ビル 1F,139.533524,35.761539
居酒屋,べにばな,,東京都東久留米市東本町3-16,https://tabelog.com/tokyo/A1328/A132802/13127133/,東京都東久留米市東本町3-16,139.534714,35.761749
