store_name,address,business_hours,Cleaned_Address,Longitude,Latitude
セルフ＆カーケアステーション芝浦 / コスモ石油販売(株),東京都港区芝浦3-17-12,['0:00~23:59'],東京都港区芝浦3-17-12,139.750366,35.642429
カーウォッシュ亀有SS / (株)ENEOSウイング,東京都足立区東和5-8-8,['07:00~21:00'],東京都足立区東和5-8-8,139.83934,35.776653
セルフ＆カーケアステーション千歳船橋 / コスモ石油販売(株),東京都世田谷区船橋6-3-4,['0:00~23:59'],東京都世田谷区船橋6-3-4,139.623398,35.657085
セルフ＆カーケアステーション光が丘 / コスモ石油販売(株),東京都練馬区田柄5-9-1,['0:00~23:59'],東京都練馬区田柄5-9-1,139.636703,35.756355
セルフ＆カーケアステーション弁天通り / コスモ石油販売(株),東京都国分寺市西町5-23-2,['0:00~23:59'],東京都国分寺市西町5-23-2,139.43129,35.714432
セルフ＆カーケアステーション東大和仲原 / コスモ石油販売(株),東京都東大和市仲原3-19-1,['0:00~23:59'],東京都東大和市仲原3-19-1,139.439011,35.742825
セルフ＆カーケアステーション瑞穂 / コスモ石油販売(株),東京都西多摩郡瑞穂町大字二本木445-1,['0:00~23:59'],東京都西多摩郡瑞穂町大字二本木445-1,139.345474,35.793808
セルフ＆カーケアステーション八王子堀之内 / コスモ石油販売(株),東京都八王子市堀之内880-2,['0:00~23:59'],東京都八王子市堀之内880-2,139.394028,35.632492
昭島中央 / コスモ石油販売(株),東京都昭島市昭和町1-7-6,['08:00~19:00'],東京都昭島市昭和町1-7-6,139.364349,35.711197
東京平和島TS / (株)ENEOSウイング,東京都大田区平和島3-1-25,['0:00~23:59'],東京都大田区平和島3-1-25,139.744522,35.583443
セルフ＆カーケアステーション日野多摩平 / コスモ石油販売(株),東京都日野市多摩平6-8-8,['0:00~23:59'],東京都日野市多摩平6-8-8,139.379745,35.671726
洗足池SS / 中央石油(株),東京都大田区南千束1-12-1,['08:00~22:00'],東京都大田区南千束1-12-1,139.695572,35.602631
駒込富士前SS / コスモ石油販売(株),東京都文京区本駒込3-30-2,['08:00~19:00'],東京都文京区本駒込3-30-2,139.751587,35.729733
セルフ＆カーケアステーション中野哲学堂 / コスモ石油販売(株),東京都中野区江古田1-7-3,['0:00~23:59'],東京都中野区江古田1-7-3,139.672333,35.723793
 セルフ＆カーケアステーション東大和 / コスモ石油販売(株),東京都東大和市立野3-1195-1,['08:00~19:00'],東京都東大和市立野3-1195-1,139.423492,35.741932
セルフ＆カーケアステーション小金井 / コスモ石油販売(株),東京都小金井市中町2-11-5,['0:00~23:59'],東京都小金井市中町2-11-5,139.515503,35.69529
ルート16箱根ケ崎 / コスモ石油販売(株),東京都西多摩郡瑞穂町箱根ケ崎東松原6-14,['08:00~19:00'],東京都西多摩郡瑞穂町箱根ケ崎東松原6-14,139.338196,35.771004
セルフ＆カーケアステーション滝山 / コスモ石油販売(株),東京都東久留米市滝山1-1-21,['0:00~23:59'],東京都東久留米市滝山1-1-21,139.512131,35.747898
セルフ＆カーケアステーション羽村 / コスモ石油販売(株),東京都羽村市羽西1-12-1,['0:00~23:59'],東京都羽村市羽西1-12-1,139.298019,35.77235
菊川SS / (株)ENEOSウイング,東京都墨田区菊川3-22-8,['08:00~19:00'],東京都墨田区菊川3-22-8,139.806915,35.690083
八王子ニュータウンSS / ネクサスエナジー(株),東京都八王子市小比企町1137-1,['06:00~22:00'],東京都八王子市小比企町1137-1,139.331314,35.643661
セルフ＆カーケアステーション伊奈平 / コスモ石油販売(株),東京都武蔵村山市伊奈平5-61-1,['0:00~23:59'],東京都武蔵村山市伊奈平5-61-1,139.376465,35.738316
板橋TS / (株)ENEOSウイング,東京都板橋区高島平6-1-1,['0:00~23:59'],東京都板橋区高島平6-1-1,139.649078,35.793266
セルフ堀之内 / 中央石油(株),東京都八王子市堀之内2-1-4,['04:00~26:00'],東京都八王子市堀之内2-1-4,139.396637,35.627522
山崎団地SS / ネクサスエナジー(株),東京都町田市本町田3160,['0:00~23:59'],東京都町田市本町田3160,139.443161,35.565708
立川南SS / ネクサスエナジー(株),東京都立川市柴崎町6-17-11,['0:00~23:59'],東京都立川市柴崎町6-17-11,139.408844,35.687473
新木場TS / (株)ENEOSウイング,東京都江東区新砂1-13-18,['08:00~20:00'],東京都江東区新砂1-13-18,139.823914,35.657345
セルフ用賀 / 中央石油(株),東京都世田谷区上用賀6-26-11,['04:00~26:00'],東京都世田谷区上用賀6-26-11,139.624893,35.63818
セルフ金井 / 中央石油(株),東京都町田市金井ヶ丘2-23-13,['04:00~26:00'],東京都町田市金井ヶ丘2-23-13,139.463898,35.573551
セルフ＆カーケアステーションすずかけ通り / コスモ石油販売(株),東京都立川市柏町1-28-3,['0:00~23:59'],東京都立川市柏町1-28-3,139.411438,35.720268
八王子日吉町 / コスモ石油販売(株),東京都八王子市日吉町17-7,['08:00~19:00'],東京都八王子市日吉町17-7,139.312927,35.661831
神代SS / ネクサスエナジー(株),東京都調布市菊野台3-9-7,['08:00~20:00'],東京都調布市菊野台3-9-7,139.569595,35.6539
厩橋SS / (株)ENEOSウイング,東京都墨田区本所1-24-10,['08:00~20:00'],東京都墨田区本所1-24-10,139.798721,35.703781
日野万願寺SS / ネクサスエナジー(株),東京都日野市石田2-2-5,['0:00~23:59'],東京都日野市石田2-2-5,139.420364,35.669083
多摩公園SS / ネクサスエナジー(株),東京都多摩市落合2-1-1,['08:00~21:00'],東京都多摩市落合2-1-1,139.429001,35.621796
早稲田SS / ネクサスエナジー(株),東京都新宿区西早稲田2-2-2,['08:00~19:00'],東京都新宿区西早稲田2-2-2,139.716339,35.706806
西立川SS / ネクサスエナジー(株),東京都昭島市東町3-5-17,['07:00~22:00'],東京都昭島市東町3-5-17,139.391861,35.70084
オブリステーション大泉 / 三愛リテールサービス(株),東京都練馬区大泉学園町4-20-16,['0:00~23:59'],東京都練馬区大泉学園町4-20-16,139.587921,35.764324
小菅SS / 日東鉱油(有),東京都葛飾区小菅3-11-12,['07:00~20:30'],東京都葛飾区小菅3-11-12,139.826767,35.756332
セルフ八広 / SKM(株),東京都墨田区八広4-29-8,['07:00~21:00'],東京都墨田区八広4-29-8,139.830124,35.72406
セルフ竹ノ塚 / (株)三京石油販売,東京都足立区東伊興1-3-8,['0:00~23:59'],東京都足立区東伊興1-3-8,139.783493,35.801743
ニコニコステーション堀之内 / (株)MIC,東京都八王子市堀之内2-12-3,['07:00~21:00'],東京都八王子市堀之内2-12-3,139.401688,35.629181
秋留台SS / (有)杉田燃料店,東京都あきる野市二宮669-5,['07:00~21:00'],東京都あきる野市二宮669-5,139.302917,35.729221
環七本一色SS / 太陽鉱油(株),東京都江戸川区本一色3-42,['0:00~23:59'],東京都江戸川区本一色3-42,139.874237,35.722469
東京ゲートブリッジSS / 太陽鉱油(株),東京都江東区新木場1-10-15,['0:00~23:59'],東京都江東区新木場1-10-15,139.836929,35.644024
城南島SS / 太陽鉱油(株),東京都大田区城南島7-1-5,['0:00~23:59'],東京都大田区城南島7-1-5,139.769394,35.581272
セルフ篠崎 / (株)三京石油販売,東京都江戸川区篠崎町3-23-8,['0:00~23:59'],東京都江戸川区篠崎町3-23-8,139.913605,35.705002
本田SS / 大成砿油(株),東京都葛飾区四つ木4-30-22,['08:00~20:00'],東京都葛飾区四つ木4-30-22,139.834427,35.741489
北斎通りSS / 大成砿油(株),東京都墨田区亀沢3-10-6,['08:00~19:00'],東京都墨田区亀沢3-10-6,139.803574,35.69717
玉川SS / 大同興業(株),東京都世田谷区野毛3-21-11,['6:00~20:30'],東京都世田谷区野毛3-21-11,139.635483,35.605251
オートジョイセルフ河辺SS / 垣見油化(株),東京都青梅市河辺町10-5-10,['08:00~20:00'],東京都青梅市河辺町10-5-10,139.287659,35.785046
Dr.Drive セルフ仙川SS / 二引(株),東京都調布市仙川町2-19-5,['0:00~23:59'],東京都調布市仙川町2-19-5,139.582962,35.6632
Dr.Drive 赤堤SS / 日新商事(株),東京都世田谷区赤堤3-24-21,['08:00~20:00'],東京都世田谷区赤堤3-24-21,139.637863,35.657249
Dr.Drive 飛鳥山SS / 日新商事(株),東京都北区滝野川3-55-12,['08:00~20:00'],東京都北区滝野川3-55-12,139.730957,35.748577
Dr.Drive セルフ昭島SS / 日新商事(株),東京都昭島市昭和町1-3-13,['0:00~23:59'],東京都昭島市昭和町1-3-13,139.367386,35.710262
Dr.Drive 高樹町SS / 山文商事(株),東京都港区南青山7-2-3,['0:00~23:59'],東京都港区南青山7-2-3,139.715042,35.658661
Dr.Drive 中野通りSS / 日新商事(株),東京都中野区弥生町4-26-6,['08:00~21:00'],東京都中野区弥生町4-26-6,139.668991,35.687782
Dr.Drive セルフ赤羽SS / 日新商事(株),東京都北区志茂5-5-2,['0:00~23:59'],東京都北区志茂5-5-2,139.727341,35.782463
Dr.Drive 駒沢通り八雲SS / 日新商事(株),東京都目黒区八雲4-11-17,['08:00~20:00'],東京都目黒区八雲4-11-17,139.6698,35.625706
セルフ八王子高倉SS / 日新商事(株),東京都八王子市高倉町51-9,['0:00~23:59'],東京都八王子市高倉町51-9,139.368118,35.664768
羽村ニュータウンSS / (株)NSコーポレーション,東京都羽村市栄町2-9-23,['08:00~20:00'],東京都羽村市栄町2-9-23,139.309036,35.771614
オートジョイ八王子SS / 垣見油化(株),東京都八王子市楢原町436-3,['08:00~20:00'],東京都八王子市楢原町436-3,139.306595,35.680489
Dr.Drive セルフ田園調布南SS / 日新商事(株),東京都大田区東嶺町41-17,['0:00~23:59'],東京都大田区東嶺町41-17,139.682159,35.582043
Dr.Drive オートジョイ環七馬込SS / 垣見油化(株),東京都大田区東馬込2-19-7,['08:00~20:00'],東京都大田区東馬込2-19-7,139.715378,35.593658
Dr.Drive 中目黒SS / 二引(株),東京都目黒区中目黒3-1-1,['07:30~20:00'],東京都目黒区中目黒3-1-1,139.700851,35.642292
青梅SS  / (株)NSコーポレーション,東京都青梅市河辺町6-30-9,['08:30~19:30'],東京都青梅市河辺町6-30-9,139.293396,35.77739
中野SS / 渋谷石油(株),東京都中野区上高田2-1-7,['07:00~22:00'],東京都中野区上高田2-1-7,139.671906,35.709427
羽村SS  / (株)NSコーポレーション,東京都羽村市神明台2-2-9,['08:00~20:00'],東京都羽村市神明台2-2-9,139.32251,35.760029
砂川SS / (株)NSコーポレーション,東京都立川市砂川町4-18-1,['0:00~23:59'],東京都立川市砂川町4-18-1,139.399719,35.725006
Dr.Drive 蓮沼SS / 二引(株),東京都大田区西蒲田7-16-3,['08:00~19:00'],東京都大田区西蒲田7-16-3,139.709152,35.564487
Dr.Drive 北馬込SS / 日新商事(株),東京都大田区北馬込1-33-5,['08:00~20:00'],東京都大田区北馬込1-33-5,139.707626,35.601089
Dr.Drive 新田端SS / 日新商事(株),東京都北区田端新町3-13-9,['08:00~21:00'],東京都北区田端新町3-13-9,139.762726,35.742592
Dr.Drive 王子SS / 日新商事(株),東京都北区王子1-27-12,['08:00~20:00'],東京都北区王子1-27-12,139.740753,35.755432
Dr.Drive 高円寺SS / 日新商事(株),東京都杉並区高円寺南4-13-1,['07:00~21:00'],東京都杉並区高円寺南4-13-1,139.65448,35.702477
プレミアムラウンジ戸越SS / 旭商事(株),東京都品川区平塚1-21-10,['07:00~20:00'],東京都品川区平塚1-21-10,139.715256,35.611855
Dr.Drive オートジョイ吉祥寺SS / 垣見油化(株),東京都武蔵野市吉祥寺南町3-5-3,['08:00~21:00'],東京都武蔵野市吉祥寺南町3-5-3,139.585632,35.699898
