Unnamed: 0,genre,store_name,business_hours,address,url
0,ラーメン,東京煮干屋本舗 中野本店,"[['11:00~0:00', '11:00~0:00'], ['11:00~0:00', '11:00~0:00'], ['11:00~0:00', '11:00~0:00'], ['11:00~0:00', '11:00~0:00'], ['11:00~0:00', '11:00~0:00'], ['11:00~0:00', '11:00~0:00'], []]",東京都中野区新井2-1-1 オリーブガーデンアネックス 1F,https://tabelog.com/tokyo/A1319/A131902/13155269/
1,ラーメン,麺家 たいせい,"[['11:00~20:00'], ['11:00~20:00'], ['11:00~20:00'], ['11:00~20:00'], ['11:00~20:00'], ['11:00~20:00'], ['11:00~20:00']]",東京都中野区中央2-2-1 ベル中野坂上,https://tabelog.com/tokyo/A1319/A131903/13282456/
2,ラーメン,麺匠 ようすけ,"[['11:30~16:00', '18:00~21:30'], ['11:30~16:00', '18:00~21:30'], ['11:30~16:00', '18:00~21:30'], ['11:30~16:00', '18:00~21:30'], ['11:30~16:00', '18:00~21:30'], ['11:30~16:00', '18:00~21:30'], ['11:30~16:00', '18:00~21:30']]",東京都中野区中野5-57-2 アミューズ中野ビル 1F,https://tabelog.com/tokyo/A1319/A131902/13225401/
3,ラーメン,野方ホープ 野方本店,"[['11:00~4:00'], ['11:00~4:00'], ['11:00~4:00'], ['11:00~4:00'], ['11:00~4:00'], ['11:00~4:00'], ['11:00~4:00']]",東京都中野区野方2-58-4,https://tabelog.com/tokyo/A1321/A132104/13001089/
4,ラーメン,まぜそば 田なか 東中野店,"[['11:00~15:00', '17:00~21:00'], ['11:00~15:00', '17:00~21:00'], ['11:00~15:00', '17:00~21:00'], [], ['11:00~15:00', '17:00~21:00'], ['11:00~15:00', '17:00~21:00'], ['11:00~15:00', '17:00~21:00']]",東京都中野区東中野1-58-15 更丸ビル 1F,https://tabelog.com/tokyo/A1319/A131901/13279250/
5,ラーメン,あら井商店,"[['11:30~13:30', '18:00~22:00'], ['11:30~13:30', '18:00~22:00'], [], ['11:30~13:30', '18:00~22:00'], ['11:30~13:30', '18:00~22:00'], ['11:30~15:00'], ['11:30~15:00']]",東京都中野区江原町2-3-3,https://tabelog.com/tokyo/A1321/A132101/13252923/
6,ラーメン,麺彩房 中野本店,"以下のリストは、指定された営業時間を正規化したものです。

```
[[], ['11:00~15:00', '17:30~21:00'], ['11:00~15:00', '17:30~21:00'], ['11:00~15:00', '17:30~21:00'], ['11:00~15:00', '17:30~21:00'], ['11:00~15:00', '17:30~21:00'], ['11:00~15:00', '17:30~21:00']]
```

月曜日は祝日を除いて夜の営業が休みなので、昼のみ営業となります。火曜日から金曜日、土曜日、日曜日は昼と夜の営業があります。祝日の営業時間は特に指定されていないため、通常の営業時間と同じと解釈しました。",東京都中野区新井3-6-7 コート II トリイ １Ｆ,https://tabelog.com/tokyo/A1321/A132104/13006931/
7,ラーメン,中洲屋台長浜ラーメン初代 健太 東京高円寺本店,"[[], ['12:00~15:00'], ['12:00~15:00'], ['12:00~15:00'], ['12:00~15:00'], ['12:00~15:00'], ['12:00~15:00']]",東京都中野区大和町1-66-6,https://tabelog.com/tokyo/A1319/A131904/13183596/
8,ラーメン,赤坂屋,,東京都中野区中央3-33-5,https://tabelog.com/tokyo/A1319/A131902/13001076/
9,ラーメン,哲ちゃん,"[['11:00~19:45'], ['11:00~19:45'], ['11:00~19:45'], ['11:00~19:45'], ['11:00~19:45'], ['11:00~19:45'], ['11:00~19:45']]",東京都中野区松が丘2-32-18 哲学堂ヴィラ 1F,https://tabelog.com/tokyo/A1321/A132101/13065811/
10,ラーメン,箕輪家 中野旗艦店,"[['12:00~15:00', '18:00~22:30'], ['12:00~15:00', '18:00~22:30'], ['12:00~15:00', '18:00~22:30'], ['12:00~15:00', '18:00~22:30'], ['12:00~15:00', '18:00~01:30'], ['12:00~15:00', '18:00~01:30'], ['12:00~15:00', '18:00~22:30']]",東京都中野区中野5-53-2,https://tabelog.com/tokyo/A1319/A131902/13278084/
11,ラーメン,イッツシュリンプ,,東京都中野区中野5-60-3,https://tabelog.com/tokyo/A1319/A131902/13149014/
12,ラーメン,ラストボス 中野店,,東京都中野区中野5-56-15,https://tabelog.com/tokyo/A1319/A131902/13245714/
13,ラーメン,艶まる,"[['10:30~04:00'], ['10:30~04:00'], ['10:30~04:00'], ['10:30~04:00'], ['10:30~04:00'], ['10:30~04:00'], ['10:30~04:00']]",東京都中野区中野5-61-7 ユニットビル　１Ｆ,https://tabelog.com/tokyo/A1319/A131902/13074422/
14,ラーメン,ただいま変身中,"[['11:00~15:30', '17:00~21:15'], ['11:00~15:30', '17:00~21:15'], ['11:00~15:30', '17:00~21:15'], ['11:00~15:30', '17:00~21:15'], ['11:00~15:30', '17:00~21:15'], ['11:00~15:30', '17:00~21:15'], ['11:00~15:30', '17:00~21:15']]",東京都中野区中野5-53-3 松本ビル 101,https://tabelog.com/tokyo/A1319/A131902/13239323/
15,ラーメン,三番,"[['11:30~14:00'], ['11:30~14:00'], ['11:30~14:00'], ['11:30~14:00'], ['11:30~14:00'], ['11:30~14:00'], []]",東京都中野区中央4-6-9,https://tabelog.com/tokyo/A1319/A131902/13062401/
16,ラーメン,らーめん 汁なし 兄貴んち,"[[], [], [], [], [], [], ['12:00~13:00', '14:00~20:00']]",東京都中野区江原町3-5-10,https://tabelog.com/tokyo/A1321/A132101/13273656/
17,ラーメン,らーめん くまくら,,東京都中野区丸山2-20-3 パレドール中野第5,https://tabelog.com/tokyo/A1321/A132104/13216490/
18,ラーメン,らぁめん ご恩,"[['11:00~15:00'], [], ['11:00~15:00'], ['11:00~15:00'], ['11:00~15:00'], ['11:00~15:00'], ['11:00~15:00']]",東京都中野区大和町1-13-7,https://tabelog.com/tokyo/A1321/A132104/13269170/
19,ラーメン,中野 邦ちゃんラーメン,"[['10:00~15:00', '17:00~22:00'], ['10:00~15:00'], ['10:00~15:00', '17:00~22:00'], ['10:00~15:00', '17:00~22:00'], ['10:00~15:00', '17:00~22:00'], ['10:00~15:00', '17:00~22:00'], ['10:00~15:00', '17:00~21:00']]",東京都中野区中野2-28-8,https://tabelog.com/tokyo/A1319/A131902/13283168/
20,ラーメン,東京中野 大成軒,"[[''], ['11:00~14:00', '17:00~23:00'], ['11:00~14:00', '17:00~23:00'], ['11:00~14:00', '17:00~23:00'], ['17:00~23:00'], ['11:00~14:00', '17:00~23:00'], ['11:00~14:00', '17:00~23:00']]",東京都中野区中野5-63-4,https://tabelog.com/tokyo/A1319/A131902/13279153/
21,ラーメン,覆めん 花木,"[[''], ['11:00~14:30', '17:00~19:45'], ['11:00~14:30', '17:00~19:45'], ['11:00~14:30', '17:00~19:45'], ['11:00~14:30', '17:00~19:45'], ['11:00~14:30', '17:00~19:45'], ['11:00~17:00']]",東京都中野区東中野1-31-8 井上ビル 1F,https://tabelog.com/tokyo/A1319/A131901/13252274/
22,ラーメン,ラーメン 雪だるま,,東京都中野区中野1-27-1 1F,https://tabelog.com/tokyo/A1319/A131902/13157827/
23,ラーメン,らーめん 北国,"[[], ['11:30~22:00'], ['11:30~22:00'], ['11:30~22:00'], ['11:30~22:00'], ['11:30~22:00'], ['11:30~22:00'], ['11:30~22:00']]",東京都中野区中野2-13-26 岡ビル 1F,https://tabelog.com/tokyo/A1319/A131902/13105978/
24,ラーメン,ラーメン豚力,"[['11:30~15:00', '18:00~22:00'], ['11:30~15:00', '18:00~22:00'], ['11:30~15:00', '18:00~22:00'], ['11:30~15:00', '18:00~22:00'], ['11:30~15:00', '18:00~22:00'], ['11:30~15:00', '18:00~22:00'], ['11:30~15:00', '18:00~22:00']]",東京都中野区上鷺宮5-8-8,https://tabelog.com/tokyo/A1321/A132102/13116959/
25,ラーメン,竹麓輔らーめん創作工房 竹麓らーめん,"[['11:00~23:00'], ['11:00~23:00'], ['11:00~23:00'], ['11:00~23:00'], ['11:00~23:00'], ['11:00~23:00'], ['11:00~23:00']]",東京都中野区中野3-33-12,https://tabelog.com/tokyo/A1319/A131902/13230405/
26,ラーメン,華蔵,,東京都中野区野方6-23-11 ハイムSKM 101,https://tabelog.com/tokyo/A1321/A132104/13177043/
27,ラーメン,福籠叉焼,"[['11:30~15:00', '17:30~21:00'], ['11:30~15:00', '17:30~21:00'], ['11:30~15:00', '17:30~21:00'], ['11:30~15:00', '17:30~21:00'], ['11:30~15:00', '17:30~21:00'], ['11:30~15:00', '17:30~21:00'], ['11:30~15:00', '17:30~21:00']]",東京都中野区新井1-14-14,https://tabelog.com/tokyo/A1319/A131902/13283134/
28,ラーメン,じゃぐら 野方本店,,東京都中野区野方5-25-2,https://tabelog.com/tokyo/A1321/A132104/13161083/
